level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetExpression,targetMeaning
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「やすみます」의 용법으로 가장 알맞은 것은?,日曜日をやすみます。,日曜日がやすみます。,日曜日にやすみます。,日曜日にはたらきます。,2,「やすみます」는 '쉬다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,やすみます,쉬다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「おきます」의 용법으로 가장 알맞은 것은?,毎朝六時をおきます。,毎朝六時がおきます。,毎朝六時にねます。,毎朝六時におきます。,3,「おきます」는 '일어나다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,おきます,일어나다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ねます」의 용법으로 가장 알맞은 것은?,十一時にねます。,十一時をねます。,十一時がねます。,十一時におきます。,0,「ねます」는 '자다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,ねます,자다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あいます」의 용법으로 가장 알맞은 것은?,駅を友だちにあいます。,駅で友だちにあいます。,駅で友だちをあいます。,駅に友だちがあいます。,1,「あいます」는 '만나다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あいます,만나다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かいます」의 용법으로 가장 알맞은 것은?,スーパーをパンをかいます。,パンがかいます。,スーパーでパンをかいます。,スーパーでパンをうります。,2,「かいます」는 '사다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かいます,사다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「うります」의 용법으로 가장 알맞은 것은?,店を花をうります。,花がうります。,店で花をかいます。,店で花をうります。,3,「うります」는 '팔다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,うります,팔다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あけます」의 용법으로 가장 알맞은 것은?,まどをあけます。,まどがあけます。,まどにあけます。,まどをしめます。,0,「あけます」는 '열다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あけます,열다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「しめます」의 용법으로 가장 알맞은 것은?,ドアがしめます。,ドアをしめます。,ドアにしめます。,ドアをあけます。,1,「しめます」는 '닫다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,しめます,닫다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「つけます」의 용법으로 가장 알맞은 것은?,電気がつけます。,電気につけます。,電気をつけます。,電気をけします。,2,「つけます」는 '켜다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,つけます,켜다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「けします」의 용법으로 가장 알맞은 것은?,テレビがけします。,テレビにけします。,テレビをつけます。,テレビをけします。,3,「けします」는 '끄다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,けします,끄다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あらいます」의 용법으로 가장 알맞은 것은?,手をあらいます。,手があらいます。,手にあらいます。,手をきります。,0,「あらいます」는 '씻다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あらいます,씻다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あります」의 용법으로 가장 알맞은 것은?,つくえの上に犬があります。,つくえの上に本があります。,わたしは本があります。,本をあります。,1,「あります」는 '있다(무생물)'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あります,있다(무생물)
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「います」의 용법으로 가장 알맞은 것은?,へやに本がいます。,ねこをいます。,へやにねこがいます。,へやへねこいます。,2,「います」는 '있다(생물)'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,います,있다(생물)
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「たべます」의 용법으로 가장 알맞은 것은?,パンがたべます。,パンにたべます。,パンをのみます。,パンをたべます。,3,「たべます」는 '먹다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,たべます,먹다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「のみます」의 용법으로 가장 알맞은 것은?,みずをのみます。,みずをたべます。,みずがのみます。,みずにのみます。,0,「のみます」는 '마시다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,のみます,마시다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「いきます」의 용법으로 가장 알맞은 것은?,学校をいきます。,学校へいきます。,学校がいきます。,学校にきます。,1,「いきます」는 '가다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,いきます,가다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「きます」의 용법으로 가장 알맞은 것은?,ともだちが家へいきます。,家をきます。,ともだちが家にきます。,家がきます。,2,「きます」는 '오다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,きます,오다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かえります」의 용법으로 가장 알맞은 것은?,家へきます。,家をかえります。,家がかえります。,六時に家へかえります。,3,「かえります」는 '돌아가다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かえります,돌아가다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「みます」의 용법으로 가장 알맞은 것은?,テレビをみます。,テレビがみます。,テレビにみます。,テレビをききます。,0,「みます」는 '보다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,みます,보다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ききます」의 용법으로 가장 알맞은 것은?,音楽をみます。,音楽をききます。,音楽がききます。,音楽にききます。,1,「ききます」는 '듣다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,ききます,듣다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「よみます」의 용법으로 가장 알맞은 것은?,本がよみます。,本によみます。,本をよみます。,本をかきます。,2,「よみます」는 '읽다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,よみます,읽다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かきます」의 용법으로 가장 알맞은 것은?,手紙がかきます。,手紙をよみます。,手紙にかきます。,手紙をかきます。,3,「かきます」는 '쓰다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かきます,쓰다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「はなします」의 용법으로 가장 알맞은 것은?,日本語ではなします。,日本語をはなします。,日本語がはなします。,日本語にはなします。,0,「はなします」는 '말하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,はなします,말하다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「べんきょうします」의 용법으로 가장 알맞은 것은?,毎日日本語がべんきょうします。,毎日日本語をべんきょうします。,毎日日本語にべんきょうします。,毎日日本語をはたらきます。,1,「べんきょうします」는 '공부하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,べんきょうします,공부하다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「はたらきます」의 용법으로 가장 알맞은 것은?,銀行をはたらきます。,銀行がはたらきます。,銀行ではたらきます。,銀行でやすみます。,2,「はたらきます」는 '일하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,はたらきます,일하다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「やすみます」의 용법으로 가장 알맞은 것은?,日曜日をやすみます。,日曜日がやすみます。,日曜日にはたらきます。,日曜日にやすみます。,3,「やすみます」는 '쉬다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,やすみます,쉬다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「おきます」의 용법으로 가장 알맞은 것은?,毎朝六時におきます。,毎朝六時をおきます。,毎朝六時がおきます。,毎朝六時にねます。,0,「おきます」는 '일어나다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,おきます,일어나다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ねます」의 용법으로 가장 알맞은 것은?,十一時をねます。,十一時にねます。,十一時がねます。,十一時におきます。,1,「ねます」는 '자다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,ねます,자다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あいます」의 용법으로 가장 알맞은 것은?,駅を友だちにあいます。,駅で友だちをあいます。,駅で友だちにあいます。,駅に友だちがあいます。,2,「あいます」는 '만나다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あいます,만나다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かいます」의 용법으로 가장 알맞은 것은?,スーパーをパンをかいます。,パンがかいます。,スーパーでパンをうります。,スーパーでパンをかいます。,3,「かいます」는 '사다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かいます,사다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「うります」의 용법으로 가장 알맞은 것은?,店で花をうります。,店を花をうります。,花がうります。,店で花をかいます。,0,「うります」는 '팔다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,うります,팔다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あけます」의 용법으로 가장 알맞은 것은?,まどがあけます。,まどをあけます。,まどにあけます。,まどをしめます。,1,「あけます」는 '열다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あけます,열다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「しめます」의 용법으로 가장 알맞은 것은?,ドアがしめます。,ドアにしめます。,ドアをしめます。,ドアをあけます。,2,「しめます」는 '닫다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,しめます,닫다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「つけます」의 용법으로 가장 알맞은 것은?,電気がつけます。,電気につけます。,電気をけします。,電気をつけます。,3,「つけます」는 '켜다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,つけます,켜다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「けします」의 용법으로 가장 알맞은 것은?,テレビをけします。,テレビがけします。,テレビにけします。,テレビをつけます。,0,「けします」는 '끄다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,けします,끄다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あらいます」의 용법으로 가장 알맞은 것은?,手があらいます。,手をあらいます。,手にあらいます。,手をきります。,1,「あらいます」는 '씻다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あらいます,씻다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あります」의 용법으로 가장 알맞은 것은?,つくえの上に犬があります。,わたしは本があります。,つくえの上に本があります。,本をあります。,2,「あります」는 '있다(무생물)'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あります,있다(무생물)
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「います」의 용법으로 가장 알맞은 것은?,へやに本がいます。,ねこをいます。,へやへねこいます。,へやにねこがいます。,3,「います」는 '있다(생물)'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,います,있다(생물)
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「たべます」의 용법으로 가장 알맞은 것은?,パンをたべます。,パンがたべます。,パンにたべます。,パンをのみます。,0,「たべます」는 '먹다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,たべます,먹다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「のみます」의 용법으로 가장 알맞은 것은?,みずをたべます。,みずをのみます。,みずがのみます。,みずにのみます。,1,「のみます」는 '마시다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,のみます,마시다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「いきます」의 용법으로 가장 알맞은 것은?,学校をいきます。,学校がいきます。,学校へいきます。,学校にきます。,2,「いきます」는 '가다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,いきます,가다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「きます」의 용법으로 가장 알맞은 것은?,ともだちが家へいきます。,家をきます。,家がきます。,ともだちが家にきます。,3,「きます」는 '오다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,きます,오다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かえります」의 용법으로 가장 알맞은 것은?,六時に家へかえります。,家へきます。,家をかえります。,家がかえります。,0,「かえります」는 '돌아가다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かえります,돌아가다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「みます」의 용법으로 가장 알맞은 것은?,テレビがみます。,テレビをみます。,テレビにみます。,テレビをききます。,1,「みます」는 '보다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,みます,보다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ききます」의 용법으로 가장 알맞은 것은?,音楽をみます。,音楽がききます。,音楽をききます。,音楽にききます。,2,「ききます」는 '듣다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,ききます,듣다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「よみます」의 용법으로 가장 알맞은 것은?,本がよみます。,本によみます。,本をかきます。,本をよみます。,3,「よみます」는 '읽다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,よみます,읽다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かきます」의 용법으로 가장 알맞은 것은?,手紙をかきます。,手紙がかきます。,手紙をよみます。,手紙にかきます。,0,「かきます」는 '쓰다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かきます,쓰다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「はなします」의 용법으로 가장 알맞은 것은?,日本語をはなします。,日本語ではなします。,日本語がはなします。,日本語にはなします。,1,「はなします」는 '말하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,はなします,말하다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「べんきょうします」의 용법으로 가장 알맞은 것은?,毎日日本語がべんきょうします。,毎日日本語にべんきょうします。,毎日日本語をべんきょうします。,毎日日本語をはたらきます。,2,「べんきょうします」는 '공부하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,べんきょうします,공부하다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「はたらきます」의 용법으로 가장 알맞은 것은?,銀行をはたらきます。,銀行がはたらきます。,銀行でやすみます。,銀行ではたらきます。,3,「はたらきます」는 '일하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,はたらきます,일하다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「やすみます」의 용법으로 가장 알맞은 것은?,日曜日にやすみます。,日曜日をやすみます。,日曜日がやすみます。,日曜日にはたらきます。,0,「やすみます」는 '쉬다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,やすみます,쉬다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「おきます」의 용법으로 가장 알맞은 것은?,毎朝六時をおきます。,毎朝六時におきます。,毎朝六時がおきます。,毎朝六時にねます。,1,「おきます」는 '일어나다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,おきます,일어나다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ねます」의 용법으로 가장 알맞은 것은?,十一時をねます。,十一時がねます。,十一時にねます。,十一時におきます。,2,「ねます」는 '자다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,ねます,자다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あいます」의 용법으로 가장 알맞은 것은?,駅を友だちにあいます。,駅で友だちをあいます。,駅に友だちがあいます。,駅で友だちにあいます。,3,「あいます」는 '만나다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あいます,만나다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かいます」의 용법으로 가장 알맞은 것은?,スーパーでパンをかいます。,スーパーをパンをかいます。,パンがかいます。,スーパーでパンをうります。,0,「かいます」는 '사다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かいます,사다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「うります」의 용법으로 가장 알맞은 것은?,店を花をうります。,店で花をうります。,花がうります。,店で花をかいます。,1,「うります」는 '팔다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,うります,팔다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あけます」의 용법으로 가장 알맞은 것은?,まどがあけます。,まどにあけます。,まどをあけます。,まどをしめます。,2,「あけます」는 '열다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あけます,열다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「しめます」의 용법으로 가장 알맞은 것은?,ドアがしめます。,ドアにしめます。,ドアをあけます。,ドアをしめます。,3,「しめます」는 '닫다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,しめます,닫다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「つけます」의 용법으로 가장 알맞은 것은?,電気をつけます。,電気がつけます。,電気につけます。,電気をけします。,0,「つけます」는 '켜다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,つけます,켜다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「けします」의 용법으로 가장 알맞은 것은?,テレビがけします。,テレビをけします。,テレビにけします。,テレビをつけます。,1,「けします」는 '끄다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,けします,끄다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あらいます」의 용법으로 가장 알맞은 것은?,手があらいます。,手にあらいます。,手をあらいます。,手をきります。,2,「あらいます」는 '씻다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あらいます,씻다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「あります」의 용법으로 가장 알맞은 것은?,つくえの上に犬があります。,わたしは本があります。,本をあります。,つくえの上に本があります。,3,「あります」는 '있다(무생물)'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,あります,있다(무생물)
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「います」의 용법으로 가장 알맞은 것은?,へやにねこがいます。,へやに本がいます。,ねこをいます。,へやへねこいます。,0,「います」는 '있다(생물)'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,います,있다(생물)
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「たべます」의 용법으로 가장 알맞은 것은?,パンがたべます。,パンをたべます。,パンにたべます。,パンをのみます。,1,「たべます」는 '먹다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,たべます,먹다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「のみます」의 용법으로 가장 알맞은 것은?,みずをたべます。,みずがのみます。,みずをのみます。,みずにのみます。,2,「のみます」는 '마시다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,のみます,마시다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「いきます」의 용법으로 가장 알맞은 것은?,学校をいきます。,学校がいきます。,学校にきます。,学校へいきます。,3,「いきます」는 '가다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,いきます,가다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「きます」의 용법으로 가장 알맞은 것은?,ともだちが家にきます。,ともだちが家へいきます。,家をきます。,家がきます。,0,「きます」는 '오다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,きます,오다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かえります」의 용법으로 가장 알맞은 것은?,家へきます。,六時に家へかえります。,家をかえります。,家がかえります。,1,「かえります」는 '돌아가다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かえります,돌아가다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「みます」의 용법으로 가장 알맞은 것은?,テレビがみます。,テレビにみます。,テレビをみます。,テレビをききます。,2,「みます」는 '보다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,みます,보다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「ききます」의 용법으로 가장 알맞은 것은?,音楽をみます。,音楽がききます。,音楽にききます。,音楽をききます。,3,「ききます」는 '듣다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,ききます,듣다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「よみます」의 용법으로 가장 알맞은 것은?,本をよみます。,本がよみます。,本によみます。,本をかきます。,0,「よみます」는 '읽다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,よみます,읽다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「かきます」의 용법으로 가장 알맞은 것은?,手紙がかきます。,手紙をかきます。,手紙をよみます。,手紙にかきます。,1,「かきます」는 '쓰다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,かきます,쓰다
N5,LANGUAGE_KNOWLEDGE,USAGE,MULTIPLE_CHOICE,다음 중 「はなします」의 용법으로 가장 알맞은 것은?,日本語をはなします。,日本語がはなします。,日本語ではなします。,日本語にはなします。,2,「はなします」는 '말하다'의 의미로 정답 문장처럼 사용하는 것이 자연스럽다.,はなします,말하다
