language,cefrLevel,qurveLevel,usageType,category,subType,questionFormat,topic,questionText,passage,audioScript,option1,option2,option3,option4,correctAnswer,explanation,koreanTranslation,sourceType,sourceReference,reviewStatus
EN,C1,Lv9,LEARNING,GRAMMAR,SENTENCE_ORDER,MULTIPLE_CHOICE,WORK,Choose the most natural sentence.,,,Under no circumstances confidential data should be shared externally.,Under no circumstances should confidential data be shared externally.,Confidential should data under circumstances no be shared.,Should under no circumstances data confidential externally share.,2,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: Under no circumstances should confidential data be shared externally.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,DAILY_LIFE,It's high time we ___ a decision instead of discussing the same issue again.,,,will make,make,made,have making,3,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: made,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,WORK,"The more carefully we plan, the ___ likely we are to encounter unexpected problems.",,,little,least,few,less,4,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: less,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,CORRECT_SENTENCE,MULTIPLE_CHOICE,TRAVEL,Choose the grammatically correct sentence.,,,"Much as I enjoyed the trip, I was glad to get home.","Much I enjoyed as the trip, I was glad get home.","As much enjoyed I trip, glad I was home.","Much as the trip I enjoyed, I glad was to home.",1,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,"정답 문장/표현: Much as I enjoyed the trip, I was glad to get home.",GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,ERROR_FINDING,MULTIPLE_CHOICE,SCHOOL,Choose the incorrect expression in: There is little point to repeat an argument that has already been addressed.,,,There is,to repeat,little point,has already been addressed,2,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: to repeat,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,WORK,She speaks as though she ___ personally responsible for the entire project.,,,has be,is being,were,will,3,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: were,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,GRAMMAR,SENTENCE_ORDER,MULTIPLE_CHOICE,MESSAGE,Choose the most natural sentence.,,,The change what remains unclear existing users whether.,Whether change users existing affect what remains is unclear.,What unclear remains whether will existing affect users.,What remains unclear is whether the change will affect existing users.,4,문맥과 문법 구조를 고려할 때 해당 선택지가 유일하게 자연스럽고 정확하다.,정답 문장/표현: What remains unclear is whether the change will affect existing users.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,MAIN_IDEA,MULTIPLE_CHOICE,FAMILY,What is the main point?,"When one person handles most household tasks, pressure can build. Sharing cooking, cleaning, and shopping can reduce the burden and create more shared time.",,Sharing household tasks can make family life easier.,Household tasks should be handled by one person to save time.,Shopping creates more pressure than cleaning.,Shared chores reduce the need for family time.,1,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,"한 사람이 가사 대부분을 맡으면 부담이 커질 수 있다. 요리, 청소, 장보기를 나누면 부담을 줄이고 함께하는 시간을 늘릴 수 있다.",GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,INFERENCE,MULTIPLE_CHOICE,WEATHER,Why was this notice posted?,"Sunday's market will go ahead for now, but strong afternoon winds are possible. Organizers will announce by 9 a.m. whether it must close early.",,To announce that the market has been cancelled.,To warn that the event may be shortened because of weather.,To ask visitors to arrive after 9 a.m.,To explain that wind will improve in the afternoon.,2,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,일요일 시장은 일단 열리지만 오후에 강한 바람이 불 가능성이 있다. 주최 측은 조기 폐장 여부를 오전 9시까지 알릴 예정이다.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,DETAIL,MULTIPLE_CHOICE,PUBLIC_PLACE,What happens to books returned Monday?,"The library is closed Monday for electrical work. The return box remains open, but returned books will not be processed until Tuesday.",,They are processed immediately by the return box.,They are discarded until the library reopens.,They will be processed after the library reopens.,They must be returned online instead.,3,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,"도서관은 전기 공사로 월요일에 문을 닫는다. 반납함은 이용할 수 있지만, 반납된 책은 화요일까지 처리되지 않는다.",GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,PURPOSE,MULTIPLE_CHOICE,WORK,Why is management requesting feedback?,"After a six-week hybrid-schedule trial, management is asking employees to complete an anonymous survey before deciding whether to adopt it permanently.",,To announce that hybrid work has already been adopted.,To ask employees to report their working hours.,To replace the survey with a management meeting.,To gather views before making a final decision.,4,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,"6주간의 하이브리드 일정 시험 후, 경영진은 영구 도입 여부를 결정하기 전에 직원들에게 익명 설문을 작성해 달라고 요청하고 있다.",GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,SHORT_MESSAGE,MULTIPLE_CHOICE,HEALTH,What is the central idea?,"Rest is sometimes treated as the opposite of productivity, yet concentration is limited. Short breaks can restore attention and reduce errors.",,Rest can support sustained performance.,Rest reduces concentration and increases mistakes.,Longer working hours always improve attention.,Breaks are only useful when work is already finished.,1,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,휴식은 생산성의 반대처럼 여겨지기도 하지만 집중력에는 한계가 있다. 짧은 휴식은 주의를 회복시키고 실수를 줄일 수 있다.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,INFERENCE,MULTIPLE_CHOICE,DAILY_LIFE,What does the passage suggest about choice?,"An abundance of similar options can make comparison exhausting, sometimes leaving people less certain rather than more satisfied.",,More options always make people more confident.,More options can sometimes make decisions harder.,People make choices faster when options are similar.,Comparison becomes easier as choices increase.,2,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,비슷한 선택지가 너무 많으면 비교가 지치게 되어 만족감이 높아지기보다 오히려 확신이 줄어들 수 있다.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,MAIN_IDEA,MULTIPLE_CHOICE,TRAVEL,What is the writer's point?,"Crowded destinations can feel very different when travelers arrive early, explore less famous areas, or stay longer than hurried visitors.",,Popular places are always unpleasant to visit.,Travelers should avoid staying longer than one day.,Timing and approach can change the experience of popular places.,Only famous attractions determine the travel experience.,3,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,혼잡한 여행지도 일찍 도착하거나 덜 알려진 지역을 둘러보거나 서두르지 않고 오래 머무르면 전혀 다르게 느껴질 수 있다.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,DETAIL,MULTIPLE_CHOICE,WORK,What concern did employees raise?,"Employees liked the new reporting interface, but some information still had to be entered in the old system, creating duplicated work.",,Employees objected to using the new interface.,The old system no longer accepts information.,The trial eliminated duplicate work immediately.,The trial temporarily increased duplicated work.,4,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,직원들은 새 보고 인터페이스를 좋아했지만 일부 정보는 여전히 기존 시스템에도 입력해야 해서 업무가 중복된다고 말했다.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,PURPOSE,MULTIPLE_CHOICE,SHOPPING,What is the purpose of the text?,Repairability is often ignored when people compare price and features. A product that costs more initially may offer better value if parts are available and repairs are easy.,,To encourage buyers to consider repairability.,Buyers should choose the cheapest product regardless of repair costs.,Repairable products always cost less at purchase.,Features matter more than availability of parts.,1,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,사람들은 가격과 기능을 비교할 때 수리 가능성을 간과하곤 한다. 초기 가격이 더 비싸더라도 부품을 구할 수 있고 수리가 쉬우면 더 큰 가치를 제공할 수 있다.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,READING,INFERENCE,MULTIPLE_CHOICE,MESSAGE,What does Elena want Sam to do?,Elena thinks the difference in the latest results is smaller than expected and asks Sam for a second opinion before she updates the report.,,Update the report without reviewing the results.,Check whether her interpretation is reasonable.,Collect a larger sample before discussing the report.,Explain why the results are higher than expected.,2,지문의 핵심 논리와 세부 정보를 종합하면 해당 선택지가 가장 타당하다.,"엘레나는 최근 결과의 차이가 예상보다 작다고 생각하며, 보고서를 수정하기 전에 샘에게 자신의 해석에 대한 두 번째 의견을 요청한다.",GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,SITUATION_EXPRESSION,MULTIPLE_CHOICE,WORK,Choose the most natural expression for this situation: A solution seems useful but may create new risks.,,,We should adopt it immediately without discussing any risks.,The idea is useless and should be abandoned.,"That could work, although we should consider the potential downside first.",There is no need to evaluate the consequences.,3,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,"상황: A solution seems useful but may create new risks. / 표현: That could work, although we should consider the potential downside first.",GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,DIALOGUE_BLANK,MULTIPLE_CHOICE,MESSAGE,Choose the most natural expression for this situation: An email's main request is difficult to identify.,,,The message is perfectly clear already.,Please add more background before making any request.,I will ignore the request until the end of the email.,Perhaps you could state your request more directly at the beginning.,4,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,상황: An email's main request is difficult to identify. / 표현: Perhaps you could state your request more directly at the beginning.,GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,NATURAL_RESPONSE,MULTIPLE_CHOICE,SCHOOL,"Choose the most natural expression for this situation: Research results look promising, but the sample is small.",,,We should be cautious about generalizing the result.,The small sample proves the result for everyone.,We should publish the finding without further review.,The results are unusable because research never helps.,1,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,"상황: Research results look promising, but the sample is small. / 표현: We should be cautious about generalizing the result.",GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,SIMILAR_EXPRESSION,MULTIPLE_CHOICE,WORK,Choose the most natural expression for this situation: You do not want to reject an option yet.,,,We should reject it immediately.,Let's not rule it out just yet.,That option has already been proven impossible.,There is no reason to discuss alternatives.,2,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,상황: You do not want to reject an option yet. / 표현: Let's not rule it out just yet.,GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,POLITE_EXPRESSION,MULTIPLE_CHOICE,PHONE,Choose the most natural expression for this situation: You need to interrupt politely to check one detail.,,,Stop talking; I have a more important question.,The detail is not worth checking.,"Sorry to interrupt, but could I just check one point?",Could we finish the meeting without asking questions?,3,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,"상황: You need to interrupt politely to check one detail. / 표현: Sorry to interrupt, but could I just check one point?",GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,DIALOGUE_ORDER,MULTIPLE_CHOICE,WORK,Choose the most natural expression for this situation: An estimate seems optimistic because the delivery assumption may be unrealistic.,,,The estimate is definitely correct as written.,Let's ignore the supplier's delivery schedule.,A later delivery would make no difference.,Let's verify that assumption with the supplier.,4,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,상황: An estimate seems optimistic because the delivery assumption may be unrealistic. / 표현: Let's verify that assumption with the supplier.,GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,KOREAN_TO_ENGLISH,MULTIPLE_CHOICE,DAILY_LIFE,Choose the most natural expression for this situation: You want to delay judgment until more information becomes available.,,,It might be better to see how things develop before reaching a conclusion.,We have enough information to decide right now.,The conclusion cannot change under any circumstances.,There is no value in waiting for new information.,1,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,상황: You want to delay judgment until more information becomes available. / 표현: It might be better to see how things develop before reaching a conclusion.,GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,NATURAL_RESPONSE,MULTIPLE_CHOICE,TRAVEL,"Choose the most natural expression for this situation: A hotel is convenient, but its reviews are inconsistent.",,,The reviews do not matter if the hotel is nearby.,Maybe we should look at a few alternatives before deciding.,We should book it immediately before comparing options.,A convenient location guarantees a good stay.,2,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,"상황: A hotel is convenient, but its reviews are inconsistent. / 표현: Maybe we should look at a few alternatives before deciding.",GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,SITUATION_EXPRESSION,MULTIPLE_CHOICE,PUBLIC_PLACE,Choose the most natural expression for this situation: You want to ask why a rule exists without sounding confrontational.,,,Rules do not need any explanation.,I disagree with this rule and refuse to follow it.,Could you explain the reasoning behind this rule?,Could you remove the rule without discussing it?,3,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,상황: You want to ask why a rule exists without sounding confrontational. / 표현: Could you explain the reasoning behind this rule?,GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,DAILY_ENGLISH,SENTENCE_ORDER,MULTIPLE_CHOICE,WORK,Choose the most natural expression for this situation: You would like to help but cannot promise the requested deadline.,,,I can guarantee that deadline without checking my workload.,There is no chance I can help with any part of this.,I will finish it today regardless of the work required.,"Much as I'd like to help, I don't think I can commit to that deadline.",4,상황의 의도와 격식 수준을 고려할 때 가장 자연스럽고 적절한 표현이다.,"상황: You would like to help but cannot promise the requested deadline. / 표현: Much as I'd like to help, I don't think I can commit to that deadline.",GENERATED,QURVE Daily English,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,SENTENCE_RECOGNITION,MULTIPLE_CHOICE,SCHOOL,What is the speaker's position?,,"These results are interesting, but we'd need stronger evidence before claiming the new method is more effective.",The claim needs stronger evidence.,The claim has already been proven beyond doubt.,The speaker wants to avoid discussing evidence.,The evidence is stronger than necessary.,1,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: The claim needs stronger evidence.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,LISTENING_INFORMATION,MULTIPLE_CHOICE,PUBLIC_PLACE,What temporary arrangement is in place?,,"While the main entrance is being repaired, visitors should use the side entrance on King Street.",Visitors must use the main entrance.,Visitors must use a side entrance.,The building is closed to all visitors.,The entrance will move permanently.,2,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: Visitors must use a side entrance.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,LISTENING_DIALOGUE,MULTIPLE_CHOICE,WORK,Why does the speaker question the survey?,,"Most survey responses came from long-term customers, so I'm not sure they represent what newer customers think.",The survey includes too many respondents.,The questions are too easy to answer.,The respondents may not represent all customers.,Customers have already rejected the product.,3,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: The respondents may not represent all customers.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,LIFE_LISTENING,MULTIPLE_CHOICE,TRAVEL,What should passengers do?,,Engineering work may cause platform changes this weekend. Check the station displays shortly before departure.,Board the first train that arrives.,Wait on the original platform all day.,Ask staff to change the destination.,Check updated platform information before departure.,4,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: Check updated platform information before departure.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,INTENTION,MULTIPLE_CHOICE,MESSAGE,What is the speaker expressing?,,"I'm not opposed to moving ahead, but I'd like us to clarify responsibility for extra costs and further delays first.",Cautious willingness to proceed if concerns are addressed.,Firm refusal to continue the discussion.,Complete confidence that the plan will succeed.,Indifference to the concerns raised.,1,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: Cautious willingness to proceed if concerns are addressed.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,LISTENING_INFORMATION,MULTIPLE_CHOICE,HEALTH,What distinction is made?,,Occasional tiredness after a busy day is normal. Persistent fatigue that lasts for weeks and affects daily activities deserves more attention.,All tiredness requires immediate medical treatment.,Occasional tiredness differs from persistent fatigue.,Persistent fatigue is always caused by work.,Occasional tiredness has no effect on daily life.,2,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: Occasional tiredness differs from persistent fatigue.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,DICTATION,DICTATION,WORK,Which word completes the sentence?,,We shouldn't overstate the significance of a single result.,overcome,overlook,overstate,undertake,3,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: overstate,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,PRONUNCIATION_DISTINCTION,MULTIPLE_CHOICE,DAILY_LIFE,Which word do you hear?,,proceed,precede,persuade,prohibit,proceed,4,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: proceed,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,LISTENING_DIALOGUE,MULTIPLE_CHOICE,APPOINTMENT,What do the speakers decide?,,"My travel schedule still isn't confirmed. Let's wait until tomorrow, then I'll send my availability.",Wait for more information before fixing a date.,Set the date immediately for tomorrow.,Cancel the event without further discussion.,Choose a date before checking the details.,1,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: Wait for more information before fixing a date.,GENERATED,CEFR-based,UNREVIEWED
EN,C1,Lv9,LEARNING,LISTENING,LISTENING_RESPONSE,MULTIPLE_CHOICE,WORK,What does the respondent need?,,"Could you review the report by Friday? I can do that, although I'll need the latest figures first.",More time to prepare the presentation.,The latest figures.,A new office location.,Permission to leave the meeting.,2,audioScript의 핵심 정보와 화자의 의도를 고려하면 해당 선택지가 정답이다.,듣기 핵심 내용: The latest figures.,GENERATED,CEFR-based,UNREVIEWED
