language,cefrLevel,qurveLevel,usageType,category,subType,questionFormat,topic,questionText,passage,audioScript,option1,option2,option3,option4,correctAnswer,explanation,koreanTranslation,sourceType,sourceReference,reviewStatus
EN,B1,Lv6,LEARNING,GRAMMAR,ERROR_FINDING,MULTIPLE_CHOICE,PHONE,Which part is wrong in this sentence? 'He told me that he will call me the next day.',,,He told me,that,will call,the next day,3,과거 시점의 간접화법에서는 일반적으로 will이 would로 바뀌어야 한다.,그는 다음 날 나에게 전화하겠다고 말했다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,GRAMMAR,GRAMMAR_BLANK,MULTIPLE_CHOICE,WORK,Choose the correct form: The office ___ before we arrived this morning.,,,was cleaning,has cleaned,had been cleaned,cleans,3,우리가 도착하기 전에 청소가 완료된 수동 상황이므로 had been cleaned가 적절하다.,오늘 아침 우리가 도착하기 전에 사무실은 청소되어 있었다.,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,B1,Lv6,LEARNING,GRAMMAR,SENTENCE_ORDER,MULTIPLE_CHOICE,HEALTH,Choose the correct sentence order for these words: enough / sleep / getting / are / you,,,You enough are getting sleep?,Are you getting enough sleep?,Getting are you sleep enough?,Enough sleep you are getting?,2,현재 상태를 묻는 현재진행형 의문문은 Are + 주어 + 동사-ing 순서이다.,충분히 자고 있나요?,GENERATED,CEFR-J Grammar Profile,UNREVIEWED
EN,B1,Lv5,LEARNING,READING,SHORT_MESSAGE,MULTIPLE_CHOICE,APPOINTMENT,Why did Ryan send this message?,"Hi Emma, for tomorrow's meeting, could you bring the sales figures from last month? I want to discuss them when we talk about the new project. Thanks, Ryan.",,To invite Emma to lunch,To cancel a doctor's appointment,To ask Emma to bring some documents,To explain where his office is,3,Ryan은 회의에서 새 프로젝트에 대해 이야기하려고 하니 지난달 판매 수치를 가져와 달라고 요청한다.,라이언은 회의 준비를 위해 엠마에게 지난달 판매 수치를 가져와 달라고 요청한다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv5,LEARNING,READING,NOTICE,MULTIPLE_CHOICE,TRANSPORTATION,What should passengers do if they normally use the east entrance?,STATION NOTICE: The east entrance will be closed for repairs until Friday. Please use the west entrance during this time. All train services will run as usual.,,Buy another ticket,Take a different train company,Wait until next month,Use the west entrance,4,동쪽 출입구가 공사로 폐쇄되어 서쪽 출입구를 이용하라고 안내한다.,동쪽 출입구는 공사 때문에 금요일까지 폐쇄됩니다. 이 기간에는 서쪽 출입구를 이용하세요.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv5,LEARNING,READING,MAIN_IDEA,MULTIPLE_CHOICE,DAILY_LIFE,What is the passage mainly about?,Leo used to buy lunch near his office every day. He did not think the cost was a problem until he added it up for a month. Now he prepares lunch at home three days a week and has been surprised by how much he saves.,,Why supermarkets close early,Why cooking is always difficult,How to find a new apartment,A simple change that helped Leo save money,4,Leo가 점심을 사 먹는 대신 집에서 준비하면서 돈을 절약하게 된 경험이 중심 내용이다.,레오는 매일 점심을 사 먹다가 집에서 점심을 준비하기 시작했고 생각보다 많은 돈을 절약했다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv5,LEARNING,READING,DETAIL,MULTIPLE_CHOICE,SCHOOL,What must students do by Wednesday?,"For next week's presentations, please choose your topic by Wednesday. Email me your choice no later than Friday so I can prepare the schedule. Presentations will begin next Tuesday.",,Meet the teacher's family,Finish the final presentation,Buy a new textbook,Choose a presentation topic,4,공지에서 수요일까지 주제를 선택하고 금요일까지 이메일로 알려 달라고 한다.,학생들은 수요일까지 발표 주제를 선택해야 하며 금요일까지 교사에게 이메일을 보내야 한다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv5,LEARNING,READING,PURPOSE,MULTIPLE_CHOICE,WORK,Why was this email sent?,This is a reminder that our customer service training will take place on Thursday at 2 p.m. in Room 4. Please bring your laptop. The session should finish by 4 p.m.,,To complain about computer problems,To announce that the office is moving,To request applications for a job,To remind staff about a training session,4,이메일은 목요일 교육 세션의 시간과 준비물을 직원들에게 상기시키기 위한 것이다.,목요일 오후 2시에 고객 서비스 교육이 있으며 노트북을 가져오라는 안내이다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,READING,INFERENCE,MULTIPLE_CHOICE,HOBBY,Why did Julia probably choose the Saturday class?,"Julia wants to learn pottery. The studio offers classes on Tuesday at 6 p.m. and Saturday at 10 a.m. Julia usually works until 7 p.m. on weekdays, but she is free on Saturday mornings.",,She dislikes weekend activities,It is the cheapest class available,Her friend teaches the class,It fits her work schedule better,4,Julia는 평일 저녁 늦게까지 일하고 토요일 오전에는 시간이 된다고 했으므로 토요일 수업이 일정에 더 잘 맞는다.,줄리아는 도예를 배우고 싶지만 평일에는 저녁 7시까지 일한다. 토요일 오전 수업은 10시에 시작한다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,READING,DETAIL,MULTIPLE_CHOICE,HEALTH,What happened after Marcus started taking short walks at lunchtime?,"Marcus often felt sleepy after lunch, especially on busy workdays. A colleague suggested taking a short walk outside. After doing this for two weeks, Marcus noticed that he felt more energetic during the afternoon.",,He started sleeping at his desk,He began skipping lunch,He stopped working in the afternoon,He felt more energetic in the afternoon,4,Marcus는 점심시간에 걷기 시작한 뒤 오후에 더 활력이 생겼다고 한다.,마커스는 점심 후 피곤했지만 짧은 산책을 시작한 뒤 오후에 더 활력이 생겼다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,READING,INFERENCE,MULTIPLE_CHOICE,RESTAURANT,What will Nina most likely do before visiting the restaurant?,Nina plans to have dinner with three friends at Green Street Kitchen on Friday. The restaurant's website says Friday evenings are usually very busy and recommends reservations for groups.,,Ask for a job there,Cook at home first,Buy a train ticket,Book a table,4,식당이 금요일 저녁에 매우 붐비고 예약을 권장한다고 했으므로 Nina는 예약할 가능성이 높다.,니나는 금요일 저녁 친구들과 이 식당에 가려고 한다. 식당 웹사이트에는 금요일 저녁에는 매우 붐비므로 예약을 권장한다고 적혀 있다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,READING,MAIN_IDEA,MULTIPLE_CHOICE,FAMILY,What is the main point of the passage?,"In some families, one person does most of the housework. This can become tiring, especially when everyone is busy. Sharing tasks such as cooking, cleaning, and shopping can reduce the pressure and leave more time for the family to spend together.",,Families should spend less time together,Children should never do household tasks,Cooking is the most important household job,Sharing household tasks can make family life easier,4,가족 구성원이 집안일을 나누면 부담이 줄고 함께 보낼 시간이 늘어난다는 내용이다.,한 사람이 모든 집안일을 하면 부담이 크지만 가족이 일을 나누면 각자의 부담이 줄고 함께할 시간이 늘어난다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,READING,PURPOSE,MULTIPLE_CHOICE,WEATHER,What is the purpose of the message?,"Tomorrow's hike will begin as planned at 9 a.m. The morning should be sunny, but temperatures will fall in the afternoon and light rain is possible. Please bring a light jacket and something waterproof.",,To change the meeting place to a restaurant,To cancel a hiking trip,To sell outdoor clothing,To advise participants to prepare for changing weather,4,아침에는 맑지만 오후에는 기온이 내려가고 비가 올 수 있으므로 재킷과 우비를 가져오라고 조언한다.,하이킹 참가자들에게 변하는 날씨에 대비해 가벼운 재킷과 우비를 가져오라고 안내한다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv5,LEARNING,DAILY_ENGLISH,SITUATION_EXPRESSION,MULTIPLE_CHOICE,WORK,"Your coworker explains a new process, but one step is unclear. What is the most natural thing to say?",,,Why is every process bad?,You explained nothing correctly.,I will ignore that step.,Could you go over that last step again?,4,이해하지 못한 부분을 다시 설명해 달라고 정중하게 요청하는 표현이다.,마지막 단계를 다시 한번 설명해 주시겠어요?,GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv5,LEARNING,DAILY_ENGLISH,DIALOGUE_BLANK,MULTIPLE_CHOICE,SHOPPING,Complete the dialogue: A: Do you have this sweater in a larger size? B: ___,,,You can size the sweater.,The sweater bought yesterday.,Large is a beautiful color.,Let me check in the back for you.,4,직원이 다른 사이즈 재고를 확인해 보겠다고 답하는 것이 자연스럽다.,A: 이 스웨터 더 큰 사이즈 있나요? B: 창고에 있는지 확인해 볼게요.,GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv5,LEARNING,DAILY_ENGLISH,NATURAL_RESPONSE,MULTIPLE_CHOICE,APPOINTMENT,"Choose the best response: 'I'm sorry, but I need to postpone our meeting.'",,,Sorry is not a meeting.,The meeting is a large room.,I postponed yesterday already.,No problem. When would be a better time?,4,일정 연기 요청을 받아들이고 새로운 시간을 묻는 응답이 가장 자연스럽다.,죄송하지만 회의를 미뤄야 해요. / 괜찮아요. 언제가 더 좋으세요?,GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv5,LEARNING,DAILY_ENGLISH,POLITE_EXPRESSION,MULTIPLE_CHOICE,RESTAURANT,You want to ask whether a dish contains nuts. What is the most appropriate expression?,,,Could you tell me if this dish contains nuts?,Give me every nut in this dish.,This dish must not know nuts.,Why do you cook food?,1,음식의 재료를 정중하게 확인하는 표현으로 Could you tell me if...가 적절하다.,이 요리에 견과류가 들어가는지 알려 주시겠어요?,GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv5,LEARNING,DAILY_ENGLISH,SIMILAR_EXPRESSION,MULTIPLE_CHOICE,PHONE,"Which expression is closest in meaning to ""The line keeps cutting out""?",,,The phone connection keeps breaking up.,The phone battery is fully charged.,The caller is speaking too slowly.,The number is easy to remember.,1,전화가 계속 끊긴다는 의미로 connection keeps breaking up이 가장 가깝다.,전화 연결이 계속 끊겨요.,GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv6,LEARNING,DAILY_ENGLISH,DIALOGUE_ORDER,MULTIPLE_CHOICE,PUBLIC_PLACE,Which dialogue is in the most natural order?,,,"A: Excuse me, is this seat taken? B: No, it's free. A: Thanks.","A: Thanks. B: Is this seat taken? A: No, excuse me.",A: It's free. B: Thanks. A: Is this seat taken?,A: Seat taken. B: Excuse me. A: Free thanks.,1,좌석 사용 여부를 묻고 비어 있다는 답을 들은 뒤 감사하는 순서가 자연스럽다.,"A: 실례합니다, 이 자리 주인이 있나요? B: 아니요, 비어 있어요. A: 감사합니다.",GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv6,LEARNING,DAILY_ENGLISH,KOREAN_TO_ENGLISH,MULTIPLE_CHOICE,MESSAGE,'혹시 계획이 바뀌면 알려 주세요.'에 가장 자연스러운 영어 표현은?,,,Please let me know if your plans change.,Please know me when plans changing.,"If plan changed, tell to I.",Your plans let me change.,1,let me know if...는 어떤 상황이 발생하면 알려 달라는 자연스러운 표현이다.,계획이 바뀌면 알려 주세요.,GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv6,LEARNING,DAILY_ENGLISH,NATURAL_RESPONSE,MULTIPLE_CHOICE,TRAVEL,Choose the best response: 'I'm not sure which platform we need.',,,Let's check the departure board.,Platforms are usually made of concrete.,I bought my suitcase last year.,The train was comfortable yesterday.,1,승강장을 모를 때 출발 안내판을 확인하자는 제안이 상황에 가장 적절하다.,어느 승강장인지 잘 모르겠어. / 출발 안내판을 확인해 보자.,GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv6,LEARNING,DAILY_ENGLISH,SITUATION_EXPRESSION,MULTIPLE_CHOICE,SCHOOL,You disagree with a classmate's idea but want to be polite. What is the best expression?,,,"I see your point, but I think there may be another way.",Your idea is completely wrong.,Stop explaining your idea.,Nobody should agree with you.,1,상대의 의견을 인정한 뒤 자신의 다른 의견을 제시하는 정중한 표현이다.,네 말도 이해하지만 다른 방법도 있을 것 같아.,GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv6,LEARNING,DAILY_ENGLISH,SENTENCE_ORDER,MULTIPLE_CHOICE,WORK,Choose the most natural sentence.,,,Would it be possible to move the deadline to Friday?,Would possible it be move deadline Friday?,To Friday deadline possible would move?,It be would possible the deadline Friday move?,1,Would it be possible to...는 가능 여부를 정중하게 묻는 올바른 문장 구조이다.,마감일을 금요일로 옮길 수 있을까요?,GENERATED,QURVE Daily English,UNREVIEWED
EN,B1,Lv5,LEARNING,LISTENING,SENTENCE_RECOGNITION,MULTIPLE_CHOICE,SCHOOL,Listen and choose the sentence that best matches what you hear.,,"Remember, your assignment is due on Monday, so please hand it in before class begins.",Students need to hand in the assignment on Monday.,Students will receive the assignment on Monday.,The Monday class has been cancelled.,The assignment is optional.,1,audioScript에서 과제 제출 마감이 월요일이라고 말한다.,과제 제출 마감은 월요일입니다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv5,LEARNING,LISTENING,LISTENING_RESPONSE,MULTIPLE_CHOICE,DAILY_LIFE,Listen to the question and choose the best response.,,Have you booked the restaurant yet?,"Not yet, but I'm planning to do it this evening.","Yes, the supermarket closes at nine.",I usually take the bus to work.,"No, I don't know his address.",1,예약을 했는지 묻는 질문에 아직 하지 않았지만 오늘 저녁 할 예정이라고 답하는 것이 자연스럽다.,"식당 예약했어? / 아직, 하지만 오늘 저녁에 할 생각이야.",GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv5,LEARNING,LISTENING,LISTENING_INFORMATION,MULTIPLE_CHOICE,TRANSPORTATION,Listen and choose how long the delay will be.,,"Because of a technical problem, the 8:10 train will be delayed by approximately twenty minutes.",About 10 minutes,About 20 minutes,About 30 minutes,About 45 minutes,2,안내 방송에서 약 20분 지연된다고 말한다.,기술적인 문제로 열차가 약 20분 지연됩니다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv5,LEARNING,LISTENING,LISTENING_DIALOGUE,MULTIPLE_CHOICE,SHOPPING,Listen to the dialogue. What will the customer probably do next?,,"Customer: These shoes feel a little tight. Clerk: I can bring you the next size up. Customer: That would be great, thanks.",Try on a different size,Ask for a restaurant menu,Leave without looking at anything,Buy a train ticket,1,직원이 더 큰 사이즈를 가져다주겠다고 했으므로 고객은 다른 사이즈를 입어 볼 가능성이 높다.,고객은 신발이 조금 꽉 끼어 더 큰 사이즈를 신어 볼 것이다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv5,LEARNING,LISTENING,LIFE_LISTENING,MULTIPLE_CHOICE,PUBLIC_PLACE,Listen to the announcement. When will the building close today?,,"Attention visitors: because of a special event this evening, the building will close at five p.m. today, one hour earlier than usual.",At 4 p.m.,At 5 p.m.,At 6 p.m.,At 7 p.m.,2,특별 행사 준비로 오늘은 평소보다 일찍 오후 5시에 문을 닫는다고 한다.,오늘 건물은 오후 5시에 문을 닫습니다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,LISTENING,INTENTION,MULTIPLE_CHOICE,WORK,Listen to the message. Why is the speaker contacting Maya?,,"Hi Maya, I've attached the draft for tomorrow's meeting. Could you take a look and send me any comments before the end of the day? Thanks.",To ask her to review a document before a meeting,To invite her to a birthday party,To tell her the office is closed,To ask where she bought her laptop,1,화자는 회의 전에 첨부한 문서를 검토하고 의견을 보내 달라고 요청한다.,회의 전에 문서를 검토해 달라는 요청이다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,LISTENING,LISTENING_INFORMATION,MULTIPLE_CHOICE,TRAVEL,Listen and choose what has changed about the flight.,,"Passengers on Flight 306 to Dublin, please note that your departure gate has changed from Gate 12 to Gate 18.",The departure gate,The destination,The ticket price,The airline,1,비행기의 출발 게이트가 12번에서 18번으로 변경되었다고 안내한다.,비행기 출발 게이트가 12번에서 18번으로 변경되었습니다.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,LISTENING,DICTATION,DICTATION,HEALTH,Listen and choose the missing word: 'Try to ___ your screen time before bed.',,Try to reduce your screen time before bed.,reduce,produce,replace,repeat,1,audioScript에서 잠자기 전 화면 사용 시간을 줄이라는 의미로 reduce를 사용한다.,잠자기 전 화면 사용 시간을 줄여 보세요.,GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,LISTENING,PRONUNCIATION_DISTINCTION,MULTIPLE_CHOICE,DAILY_LIFE,Listen and choose the word you hear.,,quite,quiet,quite,quit,quote,2,audioScript에서 들리는 단어는 quite이다. quiet과 음절 수와 발음이 다르다.,"quite = 꽤, 상당히",GENERATED,CEFR-based,UNREVIEWED
EN,B1,Lv6,LEARNING,LISTENING,LISTENING_DIALOGUE,MULTIPLE_CHOICE,APPOINTMENT,Listen to the dialogue. Why can't the woman meet on Wednesday?,,Man: Are you free to meet on Wednesday afternoon? Woman: I can't then. I have a dentist appointment at three. How about Thursday morning?,She has to work late,She is traveling abroad,She has a medical appointment,She is attending a concert,3,여성이 수요일 오후에 치과 예약이 있다고 말한다.,여성은 수요일 오후에 치과 예약이 있어 만날 수 없다.,GENERATED,CEFR-based,UNREVIEWED
