level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetExpression,targetMeaning
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「見落とす」の意味に最も近いものはどれですか。,자세히 기록하다,다시 검토하다,간과하다; 못 보고 지나치다,일부러 강조하다,2,見落とす는 중요한 점을 알아차리지 못하고 지나치는 뜻이다.,見落とす,간과하다
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「取り巻く」の意味に最も近いものはどれですか。,분리하다,파괴하다,앞서가다,둘러싸다; 주변을 에워싸다,3,取り巻く는 사람이나 상황의 주위를 둘러싼다는 뜻이다.,取り巻く,둘러싸다
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「見合わせる」の意味に最も近いものはどれですか。,당분간 보류하다,즉시 실행하다,강제로 확대하다,반드시 승인하다,0,見合わせる는 사정을 고려해 실행을 잠시 보류하는 뜻이다.,見合わせる,보류하다
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「携わる」の意味に最も近いものはどれですか。,일을 방해하다,어떤 일에 종사하다,업무를 포기하다,결과를 삭제하다,1,携わる는 특정 업무나 분야에 관계하여 종사한다는 뜻이다.,携わる,종사하다
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「覆す」の意味に最も近いものはどれですか。,판단을 유지하다,결정을 미루다,기존 판단을 뒤집다,근거를 보충하다,2,覆す는 기존의 결정·상식·예상을 뒤집는다는 뜻이다.,覆す,뒤집다
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「滞る」の意味に最も近いものはどれですか。,매우 빨라지다,완전히 끝나다,자연히 해결되다,진행이 막히거나 밀리다,3,滞る는 처리나 흐름이 원활하지 않고 지연되는 뜻이다.,滞る,정체되다
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「余儀なくされる」の意味に最も近いものはどれですか。,어쩔 수 없이 하게 되다,자발적으로 선택하다,쉽게 포기하다,우연히 발견하다,0,余儀なくされる는 외부 사정 때문에 다른 선택 없이 행동하게 됨을 뜻한다.,余儀なくされる,부득이하게 ~하게 되다
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「見極める」の意味に最も近いものはどれですか。,대충 추측하다,본질이나 상황을 끝까지 판단하다,즉시 무시하다,무조건 받아들이다,1,見極める는 충분히 살펴 정확하게 판단한다는 뜻이다.,見極める,끝까지 확인하여 판단하다
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「差し支える」の意味に最も近いものはどれですか。,도움이 되다,기회가 늘다,지장이 생기다,완전히 일치하다,2,差し支える는 어떤 일에 방해나 지장이 생긴다는 뜻이다.,差し支える,지장이 있다
N1,LANGUAGE_KNOWLEDGE,VOCABULARY_KANJI,MULTIPLE_CHOICE,「顧みる」の意味に最も近いものはどれですか。,앞만 보고 달리다,무시하고 버리다,강제로 바꾸다,돌이켜보다; 고려하다,3,顧みる는 지나온 일을 돌아보거나 사정을 고려한다는 뜻이다.,顧みる,돌이켜보다; 고려하다
