level,category,subType,questionFormat,questionText,passageText,choice1,choice2,choice3,choice4,answerIndex,explanation,questionFocus
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者の主張として最も適切なものはどれですか。,『公平』とは、全員を同じように扱うことだと考えられがちだ。しかし、置かれた条件が異なる人に同じ支援だけを提供しても、結果として大きな差が残ることがある。必要な支援の程度が違うなら、その違いを考慮することも公平さの一部ではないだろうか。,공평하려면 모든 사람에게 반드시 똑같은 지원을 해야 한다,조건이 다른 경우 필요한 지원의 차이를 고려하는 것도 공평할 수 있다,지원의 결과는 공평성과 관계가 없다,어떤 경우에도 차등 지원은 부당하다,1,필자는 동일 대우만이 아니라 조건 차이에 맞는 지원도 공평의 일부라고 본다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から分かることは何ですか。,研究チームは当初、利用者が多いサービスほど満足度も高いと予想していた。しかし調査では、利用頻度と満足度の間に明確な関係は見られなかった。便利だから頻繁に使う一方、不満を感じている利用者もいたのである。,이용 빈도가 높으면 만족도도 반드시 높다,이용 빈도와 만족도는 항상 반대다,자주 사용하는 서비스라도 만족하지 않을 수 있다,조사 결과는 최초 예상과 완전히 일치했다,2,조사에서는 이용 빈도와 만족도 사이에 명확한 관계가 없었고 자주 써도 불만인 이용자가 있었다.,세부 정보 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者が最も重視していることは何ですか。,議論で相手を説得しようとすると、自分の主張を強くすることばかり考えがちだ。しかし、相手が何を前提に考えているのかを理解しなければ、こちらの説明が正しくても届かない。説得には話す力だけでなく、相手の考えを聞き取る力も必要である。,자신의 주장을 더 강하게 반복하는 것,상대방의 전제와 생각을 이해하며 듣는 것,상대의 의견을 즉시 반박하는 것,논쟁을 피하고 아무 말도 하지 않는 것,1,필자는 설득에는 말하는 능력뿐 아니라 상대의 전제와 생각을 듣고 이해하는 능력이 필요하다고 말한다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この通知を受けた社員はどうする必要がありますか。,来月から経費精算の方法が変わります。今月中に発生した経費は従来のシステムで申請してください。新システムは来月一日以降に発生した経費のみ対象です。なお、旧システムは来月十日で利用できなくなります。,이번 달 발생 경비도 새 시스템에서 신청한다,이번 달 발생 경비는 기존 시스템에서 신청해야 한다,기존 시스템은 다음 달 내내 사용할 수 있다,발생일과 관계없이 원하는 시스템을 사용한다,1,이번 달 발생 경비는 기존 시스템 대상이며 기존 시스템은 다음 달 10일까지 사용할 수 있다.,세부 정보 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者はなぜ『選択肢を増やせばよいとは限らない』と述べていますか。,選べる商品が増えることは一見便利に思える。しかし、違いが分かりにくい商品が大量に並ぶと、比較に時間がかかり、結局選ぶこと自体をやめてしまう人もいる。選択肢の数だけでなく、違いを理解しやすくする工夫が必要だ。,상품 수가 많으면 반드시 가격이 오른다,선택지가 너무 많고 차이가 불명확하면 선택 자체가 어려워질 수 있다,사람들은 선택하는 것을 원래 싫어한다,상품의 차이를 설명하면 선택지가 줄어든다,1,선택지가 많아도 차이를 이해하기 어렵다면 비교 부담이 커져 선택을 포기할 수 있기 때문이다.,인물 의도 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章の内容に合うものはどれですか。,ある自治体は、観光客を増やすため有名な場所の宣伝に力を入れてきた。しかし、訪問者が一部の地域に集中し、混雑や住民生活への影響が問題になった。現在は、観光客を増やすだけでなく、訪問先を地域全体に分散させることを目指している。,관광객 수를 무조건 줄이는 것이 목표다,유명 관광지 한 곳에 더 많은 사람을 모으려 한다,관광객을 지역 전체로 분산시키려 한다,주민 생활에 관광은 아무 영향이 없다,2,현재 정책의 핵심은 관광객 수 자체보다 특정 지역 집중을 완화해 지역 전체로 분산하는 것이다.,세부 정보 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章で筆者が批判している考え方は何ですか。,結果だけを見て過去の判断を評価すると、『なぜそんな選択をしたのか』と思うことがある。しかし、判断した時点では現在のような情報がなかったかもしれない。後から得た情報を当然のものとして過去を評価するのは慎重であるべきだ。,과거 판단은 결과만으로 평가하면 된다는 생각,판단 당시의 정보도 고려해야 한다는 생각,새 정보가 생기면 과거를 다시 볼 수 있다는 생각,평가에는 신중함이 필요하다는 생각,0,필자는 현재 알고 있는 결과만으로 과거 판단을 쉽게 비판하는 태도를 경계한다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から何が推測できますか。,担当部署は新システムを来週から全社で利用すると発表していた。ところが試験利用した社員から重大な不具合が複数報告され、修正版の完成時期も未定だという。,전사 도입 일정이 변경될 가능성이 있다,다음 주부터 문제없이 전사 사용한다,수정판은 이미 완성되었다,시험 이용은 실시되지 않았다,0,중대한 오류가 여러 건 있고 수정 시점도 미정이므로 전사 도입 일정이 바뀔 가능성이 높다.,추론
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者の意見に最も近いものはどれですか。,経験は判断を速くする。過去に似た状況を知っていれば、毎回ゼロから考えずに済むからだ。一方、経験が豊富であるほど『今回も同じだ』と思い込み、新しい違いを見落とす危険もある。経験は使うものであって、従うものではない。,경험이 많으면 새로운 상황도 항상 정확히 판단한다,경험은 전혀 도움이 되지 않는다,경험을 활용하되 과거와 다른 점도 확인해야 한다,경험이 있으면 생각할 필요가 없다,2,필자는 경험의 효율성을 인정하면서도 경험에 맹목적으로 따르지 말고 차이를 살펴야 한다고 말한다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この案内の目的は何ですか。,近年、館内で充電中の機器を放置したまま外出する利用者が増えています。安全上の理由から、来月より共用スペースでの充電は、利用者本人がその場にいる場合に限ります。長時間席を離れた場合、職員が電源を外すことがあります。,충전 서비스를 완전히 폐지하려고,공용 공간의 전기 요금을 받으려고,안전을 위해 자리를 비운 채 충전하는 행위를 제한하려고,직원이 이용자의 기기를 사용하려고,2,안전상의 이유로 사용자가 없는 상태의 장시간 충전을 제한하는 안내다.,인물 의도 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者が言う『見えないコスト』とは何ですか。,新しいツールの価格が安くても、導入すればすぐ得になるとは限らない。使い方を覚える時間、既存データを移す作業、慣れるまでの生産性低下など、購入価格には表れない負担があるからだ。導入判断では、こうした見えないコストも考える必要がある。,도구의 구매 가격 자체,도구를 사용하지 않을 때의 전기료,학습·데이터 이전·적응 과정에서 발생하는 부담,회사가 공개하지 않은 판매 가격,2,"구매가 외에 학습 시간, 데이터 이전, 적응 중 생산성 저하 등 도입에 수반되는 숨은 부담을 말한다.",세부 정보 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章の主な内容は何ですか。,『分かりやすく説明する』というと、情報を減らすことだと思われがちだ。確かに不要な情報を省くことは重要だが、省きすぎれば判断に必要な条件まで失われる。分かりやすさとは単純さではなく、必要な情報の関係が理解できる状態なのだ。,쉬운 설명을 위해서는 정보를 최대한 삭제해야 한다,이해하기 쉬움은 단순히 정보가 적다는 뜻이 아니다,복잡한 정보는 설명할 수 없다,조건은 설명에서 모두 생략해야 한다,1,필자는 이해하기 쉬운 설명이 단순한 정보 축소가 아니라 필요한 정보의 관계를 이해할 수 있게 하는 것이라고 본다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,なぜ会社は評価制度を変更しましたか。,従来は個人の売上だけを評価していたため、自分の成果にならない仕事を避ける社員が増え、チーム内の協力が弱まった。そこで、個人成果に加え、他の社員への支援やチームへの貢献も評価することにした。,개인 매출을 더 강하게 평가하기 위해,직원 간 경쟁을 완전히 없애기 위해,개인 실적만 평가하면서 협력이 약해진 문제를 개선하기 위해,팀의 성과를 평가하지 않기 위해,2,개인 실적 중심 평가가 협력을 약화시켰기 때문에 지원과 팀 기여도도 평가하게 되었다.,추론
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から分かることは何ですか。,ある調査では、会議の時間を短くしただけでは参加者の満足度はほとんど変わらなかった。一方、事前に目的と論点を共有した会議では、同じ時間でも『有意義だった』という回答が増えた。,회의는 짧을수록 반드시 만족도가 높다,회의 시간보다 목적과 논점을 사전에 공유하는 것이 만족도에 영향을 줄 수 있다,회의 자료를 미리 보내면 회의 시간이 반드시 늘어난다,참가자들은 긴 회의를 더 선호한다,1,단순 시간 단축보다 목적과 논점의 사전 공유가 회의의 유의미함에 영향을 준 것으로 나타났다.,세부 정보 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者が最も言いたいことは何ですか。,何かを改善しようとすると、問題が起きた部分だけを直したくなる。しかし、その部分が別の仕組みとつながっていれば、一か所の変更が別の問題を生むこともある。複雑な仕組みでは、個々の部分だけでなく、相互の関係を見る視点が欠かせない。,문제가 생긴 부분만 고치면 항상 해결된다,복잡한 시스템에서는 요소 간 관계까지 고려해야 한다,문제는 한 번에 모두 해결해야 한다,시스템의 각 부분은 서로 영향을 주지 않는다,1,복잡한 구조에서는 부분 수정이 다른 곳에 영향을 줄 수 있으므로 상호 관계를 봐야 한다는 주장이다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この通知を受けた利用者がすべきことは何ですか。,本人確認方法の変更により、来月十五日以降、旧方式ではログインできなくなります。現在旧方式を利用している方は、それまでに新しい認証方法の登録を完了してください。登録後も現在のパスワードは変更されません。,다음 달 15일 이후에 새 인증을 등록한다,다음 달 15일 전에 새 인증 방법 등록을 완료한다,현재 비밀번호를 반드시 변경한다,기존 인증 방식을 계속 사용한다,1,15일 이후 기존 방식 로그인이 불가능하므로 그 전에 새 인증 방법을 등록해야 한다.,세부 정보 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者はなぜ『質問する力』が重要だと述べていますか。,情報を得る手段が増え、答えを探すこと自体は以前より簡単になった。しかし、何を知る必要があるのかが曖昧なら、大量の情報を集めても役に立たない。適切な答えに近づくには、まず問題をどのように問うかが重要なのである。,정보 검색 기술이 필요 없어졌기 때문에,질문이 명확해야 필요한 답을 찾는 데 가까워질 수 있기 때문에,많은 정보를 모으면 질문은 필요 없기 때문에,답은 항상 하나뿐이기 때문에,1,필자는 정보가 많아도 문제를 명확히 질문하지 못하면 적절한 답을 찾기 어렵다고 본다.,인물 의도 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章の内容に合うものはどれですか。,制度を利用する人が少ないとき、制度そのものに需要がないとは限らない。申請方法が複雑だったり、制度の存在が知られていなかったりする可能性もある。利用率だけで制度の必要性を判断する前に、利用を妨げる要因を調べるべきだ。,이용률이 낮으면 제도는 반드시 필요 없다,이용률만으로 제도의 필요성을 판단해서는 안 된다,신청 방법은 이용률과 관계가 없다,제도 홍보는 필요하지 않다,1,낮은 이용률은 복잡한 신청이나 낮은 인지도 때문일 수 있어 원인을 먼저 조사해야 한다.,주제 파악
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から推測できることは何ですか。,レストランは予約客を増やすため、キャンセル料をなくした。すると予約件数は増えたが、連絡なしで来店しない客も増え、空席が目立つようになった。店は現在、予約制度を再検討している。,취소 수수료 폐지가 모든 문제를 해결했다,가게는 예약 제도를 다시 조정할 가능성이 있다,예약 건수는 감소했다,연락 없이 오지 않는 손님은 줄었다,1,노쇼가 늘어 빈자리가 발생했고 예약 제도를 재검토 중이므로 정책 조정 가능성이 높다.,추론
N1,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者の考えに最も近いものはどれですか。,『変えないこと』には理由が必要ないように見える。だが、環境が変化しているのに従来の方法を続けることも、一つの選択である。新しい方法だけに説明責任を求めるのではなく、現状を維持する理由も問い直す必要がある。,기존 방식은 이유 없이 계속해도 된다,새로운 방식에만 설명이 필요하다,현상 유지 역시 선택이므로 그 이유를 검토해야 한다,환경 변화와 업무 방식은 관계가 없다,2,필자는 변화뿐 아니라 현상 유지도 선택이므로 그 타당성을 설명하고 검토해야 한다고 주장한다.,주제 파악
