level,category,subType,questionFormat,questionText,passageText,choice1,choice2,choice3,choice4,answerIndex,explanation,questionFocus
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,学生はレポートをどのように出しますか。,レポートは金曜日までにメールで送ってください。紙で出す必要はありません。ファイル名には学生番号と名前を入れてください。,종이로 직접 제출한다,메일로 보내고 파일명에 학번과 이름을 쓴다,금요일 이후에 온라인으로 낸다,학생 번호만 적어 제출한다,1,금요일까지 이메일 제출이며 파일명에 학번과 이름을 넣어야 한다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この人が新しい店を気に入った理由は何ですか。,駅前に新しいカフェができたので行ってみました。コーヒーは少し高かったですが、席が広くて静かでした。仕事をするのに便利なので、また利用したいです。,커피가 매우 싸서,음식 종류가 많아서,넓고 조용해 일하기 편해서,역에서 멀리 떨어져 있어서,2,가격은 조금 비싸지만 넓고 조용해서 업무하기 편하다고 평가했다.,인물 의도 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,このメモを書いた人は何をしてほしいですか。,冷蔵庫にケーキがあります。お客さんが来るので、まだ食べないでください。飲み物は自由に飲んでもかまいません。,케이크를 먼저 먹는 것,음료도 마시지 않는 것,손님이 올 때까지 케이크를 먹지 않는 것,새 케이크를 사 오는 것,2,손님이 올 예정이므로 냉장고의 케이크를 아직 먹지 말라고 했다.,인물 의도 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,明日の遠足について正しいものはどれですか。,明日の遠足は予定どおり行います。ただし、午後から雨の可能性がありますので、傘を持ってきてください。集合時間は午前八時で変わりません。,비 때문에 취소되었다,집합 시간이 변경되었다,우산을 가져와야 한다,오후 8시에 모인다,2,원정은 예정대로 진행되며 오후 비 가능성 때문에 우산을 준비해야 한다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章の主な内容は何ですか。,最近、私は寝る前にスマートフォンを見ないようにしています。以前は夜遅くまで動画を見て、朝起きるのが大変でした。今はよく眠れるようになりました。,스마트폰 가격 비교,수면을 위해 바꾼 습관,아침 운동의 중요성,동영상 만드는 방법,1,잠들기 전 스마트폰을 보지 않게 된 습관과 수면 개선이 중심이다.,주제 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,佐々木さんはなぜ予約時間を変えたいですか。,美容院を三時に予約しましたが、会社の会議が長くなりそうです。三時には間に合わないので、五時に変更できるか電話で聞くつもりです。,미용실이 문을 닫아서,회의가 길어져 3시에 못 갈 것 같아서,5시에 회의가 있어서,예약을 취소하고 싶어서,1,회사 회의가 길어질 것 같아 3시 예약에 맞출 수 없기 때문이다.,인물 의도 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この案内で、荷物を受け取れるのはいつですか。,宅配便のお知らせです。本日はご不在だったため、荷物を持ち帰りました。明日の午前九時から午後六時までに電話をいただければ、再配達します。,오늘 밤 언제든지,내일 오전 9시부터 오후 6시 사이에 연락한 뒤,내일 오후 6시 이후에만,다음 주 월요일에만,1,내일 9시~18시 사이 전화하면 재배송한다고 안내한다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,山本さんはこのあと何をする可能性が高いですか。,山本さんは旅行のホテルを探しています。駅に近いホテルAは高く、少し遠いホテルBは安いです。山本さんは荷物が多いので、値段より駅からの近さを大切にしています。,호텔 B를 바로 예약한다,역에서 가장 먼 호텔을 찾는다,호텔 A를 선택한다,여행을 취소한다,2,짐이 많아 가격보다 역과의 거리를 중시하므로 가까운 호텔 A를 선택할 가능성이 높다.,추론
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章で筆者が言いたいことは何ですか。,外国語を勉強するとき、間違えるのが恥ずかしくて話さない人がいます。しかし、話さなければ自分の弱いところにも気づけません。私は、間違いを恐れず使ってみることが大切だと思います。,문법 공부만 해야 한다,실수를 피하려면 말하지 말아야 한다,실수를 두려워하지 말고 언어를 사용해야 한다,외국어는 혼자 공부할 수 없다,2,필자는 실수를 두려워하지 않고 실제로 사용해 보는 것이 중요하다고 주장한다.,주제 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,会社員は金曜日に何をしなければなりませんか。,社内システムは土曜日の午前中、点検のため利用できません。金曜日までに必要な資料を保存しておいてください。月曜日からは通常どおり使えます。,시스템 점검을 직접 한다,필요한 자료를 미리 저장한다,토요일에 자료를 내려받는다,월요일까지 시스템을 사용하지 않는다,1,토요일 시스템 사용이 불가능하므로 금요일까지 필요한 자료를 저장해야 한다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この店のサービスについて正しいものはどれですか。,このレストランでは、平日の昼だけコーヒーが無料です。土日と夜は飲み物が別料金になります。ランチは十一時半から二時までです。,매일 커피가 무료다,평일 점심에만 커피가 무료다,주말 점심만 무료다,밤에는 모든 음료가 무료다,1,무료 커피 서비스는 평일 점심에만 제공된다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,高橋さんはなぜ電車ではなくバスで行きますか。,いつもは電車で大学へ行きますが、今日は駅で事故があり、電車が止まっています。大学の近くまで行くバスがあるので、それを利用することにしました。,버스가 더 싸서,전철이 사고로 멈춰서,대학이 이전해서,버스를 타고 싶어서,1,역 사고로 전철 운행이 중단되어 대학 근처까지 가는 버스를 이용한다.,추론
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,このメールの目的は何ですか。,皆さんへ。来週の歓迎会について、参加できる人は水曜日までに私へ返信してください。店を予約するため、人数を早く知りたいです。,가게 위치를 알리는 것,환영회를 취소하는 것,참석 여부를 회신해 달라고 요청하는 것,수요일 회의를 공지하는 것,2,예약 인원 파악을 위해 수요일까지 참석 여부 회신을 요청하는 메일이다.,인물 의도 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から分かることは何ですか。,この町では、去年から駅前に自転車を無料で借りられる場所ができました。返す場所は駅前だけでなく、市役所や公園にもあります。私は買い物のときによく使っています。,자전거는 유료다,반납 장소는 역 앞뿐이다,필자는 쇼핑할 때 자주 이용한다,서비스는 올해 시작되었다,2,필자는 쇼핑할 때 이 무료 자전거를 자주 이용한다고 했다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,母が息子にこのメッセージを送った理由は何ですか。,今日は帰りが九時ごろになります。夕飯は鍋の中にあるので、温めて食べてください。食べ終わったら冷蔵庫に入れておいてね。,저녁을 새로 만들어 달라고 하려고,늦게 귀가하므로 저녁 먹는 방법을 알려주려고,아들에게 외식하라고 하려고,냉장고를 청소해 달라고 하려고,1,늦게 귀가하므로 준비된 저녁을 데워 먹고 남은 것을 보관하라고 알려준다.,인물 의도 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この案内によると、写真を撮ってもいい場所はどこですか。,美術館では展示室内の写真撮影は禁止です。ただし、一階のロビーと庭では撮影できます。フラッシュはどこでも使わないでください。,전시실 안,1층 로비와 정원,모든 층의 전시실,플래시를 사용하는 곳,1,촬영은 1층 로비와 정원에서만 가능하며 전시실에서는 금지다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,筆者が料理を始めたきっかけは何ですか。,以前はほとんど料理をしませんでした。引っ越して一人暮らしを始めたとき、外食ばかりではお金がかかると思い、自分で作るようになりました。今では料理が趣味です。,요리 학교에 다녀서,혼자 살기 시작하며 외식비를 아끼려고,가족에게 부탁받아서,식당에서 일하게 되어서,1,자취를 시작한 뒤 외식 비용이 많이 들어 직접 요리하기 시작했다.,추론
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章の主な内容は何ですか。,仕事で忙しいと、休む時間がもったいないと思うことがあります。しかし、疲れたまま仕事を続けるとミスが増えます。短い休憩でも取ったほうが、結果的に仕事が早く終わることがあります。,휴식 없이 일하는 방법,짧은 휴식의 필요성,실수를 숨기는 방법,업무 시간을 늘리는 방법,1,피곤할 때 짧게라도 쉬는 것이 업무 효율에 도움이 된다는 내용이다.,주제 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,参加者が持ってくる必要がないものは何ですか。,日曜日の山歩きでは、昼ご飯と飲み物を各自で持ってきてください。地図はこちらで用意します。雨の場合は中止し、朝六時までにメールで連絡します。,점심,음료,지도,우산,2,지도는 주최 측에서 준비한다고 했으므로 가져올 필요가 없다.,세부 정보 파악
N3,READING,READING_COMPREHENSION,MULTIPLE_CHOICE,この文章から何が推測できますか。,駅に着いたとき、電車が出たばかりでした。次の電車は二十分後です。約束の時間まであと十五分しかありません。,약속에 늦을 가능성이 높다,다음 전철은 15분 후 온다,이미 약속 장소에 도착했다,전철이 예정보다 일찍 왔다,0,다음 전철까지 20분인데 약속까지 15분밖에 없어 늦을 가능성이 높다.,추론
