level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetGrammar,grammarMeaning
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,彼は遅刻した上に資料まで忘れ、最後には会議中に寝る（　　　）。,に至る,そばから,始末だ,がてらだ,2,좋지 않은 일이 계속되어 결국 최악의 결과에 이르는 ～始末だ가 맞다.,始末だ,결국 ~하는 지경이다
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,何度注意しても改善せず、とうとう契約を解除される（　　　）。,末だった,なりだった,上だった,始末だった,3,부정적인 경과의 최종 결과를 나타낸다.,始末だ,결국 ~하는 지경이다
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,被害は周辺地域だけでなく、遠く離れた都市（　　　）及んだ。,に至るまで,を皮切りに,をもって,に即して,0,범위가 극단적인 지점까지 미쳤음을 나타내는 ～に至るまで가 맞다.,に至るまで,~에 이르기까지
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,問題がここまで深刻になる（　　　）、会社は対策を取らなかった。,をもって,に至って,がてら,に即して,1,상황이 특정 심각한 단계에 이르고 나서야 행동함을 나타낸다.,に至って,~에 이르러서
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,今回の事故を（　　　）、安全基準が全面的に見直された。,そばから,なり,契機に,が早いか,2,특정 사건을 계기로 변화가 시작됨을 나타내는 ～を契機に가 맞다.,を契機に,~을 계기로
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,新社屋の完成を（　　　）、組織体制も変更することになった。,末に,始末に,なりに,機に,3,어떤 일을 좋은 계기로 삼아 변화하는 ～を機に가 맞다.,を機に,~을 계기로
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,東京公演を（　　　）、全国十都市で公演が行われる。,皮切りに,もって,踏まえて,即して,0,연속되는 행사의 첫 시작을 나타내는 ～を皮切りに가 맞다.,を皮切りに,~을 시작으로
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,新製品の発表を（　　　）、各地でイベントが開催された。,限りに,皮切りに,末に,始末に,1,첫 사건을 시작으로 비슷한 일이 연속됨을 나타낸다.,を皮切りに,~을 시작으로
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,本日を（　　　）、このサービスを終了いたします。,皮切りに,踏まえて,もって,即して,2,격식 있게 기한이나 종료 시점을 나타내는 ～をもって가 맞다.,をもって,~을 기하여; ~으로써
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,三月末を（　　　）、受付を締め切ります。,契機に,そばから,がてら,もって,3,공식적인 종료 시점을 나타낸다.,をもって,~을 기하여
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,実際の状況（　　　）判断する必要がある。,に即して,を皮切りに,をもって,に至って,0,현실이나 기준에 맞추어 행동하는 ～に即して가 맞다.,に即して,~에 입각하여; ~에 맞추어
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,現場の実情（　　　）制度を改善すべきだ。,を契機に,に即して,に至るまで,が早いか,1,현장의 실제 상황에 맞추어 개선한다는 뜻이다.,に即して,~에 입각하여
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,調査結果（　　　）、今後の方針を決定した。,を皮切りに,をもって,を踏まえて,に至って,2,자료나 사실을 근거로 고려한다는 ～を踏まえて가 적절하다.,を踏まえて,~을 바탕으로
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,これまでの反省（　　　）、新しい対策を講じる。,をもって,を皮切りに,がてら,を踏まえて,3,과거의 반성을 고려해 새로운 조치를 취한다는 의미다.,を踏まえて,~을 바탕으로
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,責任者である（　　　）、最後まで対応すべきだ。,以上,そばから,なり,が早いか,0,어떤 지위나 사실을 전제로 당연한 책임을 말하는 ～以上가 맞다.,以上,~인 이상
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,約束した（　　　）、守らなければならない。,末に,以上,がてら,始末,1,약속했다는 사실을 전제로 의무를 말한다.,以上,~인 이상
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この問題は、専門家（　　　）簡単には解決できない。,に至って,をもって,といえども,に即して,2,극단적 대상도 예외가 아님을 나타내는 ～といえども가 맞다.,といえども,~라고 할지라도
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,子ども（　　　）、他人の権利を傷つけてよいわけではない。,を皮切りに,がてら,末に,といえども,3,어떤 신분이라도 예외가 아니라는 양보 표현이다.,といえども,~라고 할지라도
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,努力（　　　）、必ず成功するとは限らない。,したからといって,するなり,した末に,するそばから,0,앞의 사실만으로 뒤 결과를 단정할 수 없다는 ～からといって가 맞다.,からといって,~라고 해서
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,有名だから（　　　）、質が高いとは限らない。,なり,といって,末に,がてら,1,유명하다는 이유만으로 품질을 단정할 수 없음을 나타낸다.,からといって,~라고 해서
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,事情を知らなかったとは（　　　）、責任がないとは言えない。,いって,なり,いえ,末,2,앞 사실을 인정하면서도 뒤에서 반대 내용을 제시하는 ～とはいえ가 맞다.,とはいえ,~라고는 해도
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,春になったとは（　　　）、朝晩はまだ寒い。,いって,なり,末,いえ,3,봄이 되었다는 사실을 인정하지만 여전히 춥다는 양보다.,とはいえ,~라고는 해도
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この計画には問題が多く、賛成（　　　）。,しかねる,しがたい,せずにはおかない,するにたえない,0,상대의 요청이나 판단을 완곡하게 거절하는 ～しかねる가 적절하다.,かねる,~하기 어렵다
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,個人情報なので、その質問にはお答え（　　　）。,しがたいです,しかねます,せずにはおきません,するにたえます,1,답변하기 어렵다는 정중한 거절에 ～かねる를 쓴다.,かねる,~하기 어렵다
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,このまま放置すれば、事故が起こり（　　　）。,がたい,ずにはおかない,かねない,にたえない,2,부정적인 가능성이 충분히 있음을 나타내는 ～かねない가 맞다.,かねない,~할지도 모른다
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,小さな誤解が大きな問題に発展し（　　　）。,がたい,にたえる,ずにはすまない,かねない,3,좋지 않은 결과로 이어질 위험성을 나타낸다.,かねない,~할지도 모른다
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,長年支えてくれた人々への感謝は、言葉では表し（　　　）。,がたい,かねない,ずにはおかない,にたえない,0,감정적으로 쉽게 할 수 없다는 ～がたい가 적절하다.,がたい,~하기 어렵다
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,彼の行為は到底理解し（　　　）。,かねない,がたい,ずにはすまない,にたえる,1,도저히 이해하기 어렵다는 강한 판단을 나타낸다.,がたい,~하기 어렵다
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この映画は見る者を感動させ（　　　）。,かねる,がたい,ずにはおかない,にたえない,2,반드시 어떤 감정이나 행동을 일으키게 한다는 ～ずにはおかない가 맞다.,ずにはおかない,반드시 ~하게 만들다
N1,GRAMMAR,GRAMMAR_PATTERN,MULTIPLE_CHOICE,この事実を知れば、誰もが驚か（　　　）だろう。,かねない,がたい,にたえない,ずにはいられない,3,감정 때문에 자연스럽게 어떤 행동을 하지 않을 수 없음을 나타낸다.,ずにはいられない,~하지 않고는 못 배기다
