level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetWord,targetMeaning
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,あの木は（　　　）です。,ちいさい,おおきい,しろい,はやい,1,문맥상 '크다'의 의미인 「おおきい」가 가장 자연스럽다.,おおきい,크다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,このかばんは（　　　）です。,ながい,ちいさい,あつい,あまい,1,문맥상 '작다'의 의미인 「ちいさい」가 가장 자연스럽다.,ちいさい,작다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,このでんしゃは（　　　）です。,おそい,はやい,くらい,ひくい,1,문맥상 '빠르다'의 의미인 「はやい」가 가장 자연스럽다.,はやい,빠르다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,バスが（　　　）。,はやい,おそい,おもい,かるい,1,문맥상 '느리다'의 의미인 「おそい」가 가장 자연스럽다.,おそい,느리다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,このくつは（　　　）です。,やすい,たかい,あまい,しろい,1,문맥상 '비싸다'의 의미인 「たかい」가 가장 자연스럽다.,たかい,비싸다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,この店のりんごは（　　　）です。,たかい,やすい,ながい,あつい,1,문맥상 '싸다'의 의미인 「やすい」가 가장 자연스럽다.,やすい,싸다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,このケーキは（　　　）です。,からい,あまい,にがい,すっぱい,1,문맥상 '달다'의 의미인 「あまい」가 가장 자연스럽다.,あまい,달다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,このカレーは（　　　）です。,からい,あまい,しお,おいしい,0,문맥상 '맵다'의 의미인 「からい」가 가장 자연스럽다.,からい,맵다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,このラーメンは（　　　）です。,まずい,おいしい,せまい,ひろい,1,문맥상 '맛있다'의 의미인 「おいしい」가 가장 자연스럽다.,おいしい,맛있다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,きょうは（　　　）ので、あとで電話します。,ひま,いそがしい,げんき,ゆうめい,1,문맥상 '바쁘다'의 의미인 「いそがしい」가 가장 자연스럽다.,いそがしい,바쁘다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,今日は（　　　）ですから、映画を見ましょう。,いそがしい,ひま,きれい,べんり,1,문맥상 '한가하다'의 의미인 「ひま」가 가장 자연스럽다.,ひま,한가하다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,このへやは（　　　）です。,きたない,きれい,おもい,あかるい,1,문맥상 '깨끗하다'의 의미인 「きれい」가 가장 자연스럽다.,きれい,깨끗하다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,くつが（　　　）です。,きれい,きたない,たのしい,しずか,1,문맥상 '더럽다'의 의미인 「きたない」가 가장 자연스럽다.,きたない,더럽다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,この図書館は（　　　）です。,にぎやか,しずか,おいしい,あつい,1,문맥상 '조용하다'의 의미인 「しずか」가 가장 자연스럽다.,しずか,조용하다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,おまつりは（　　　）です。,しずか,にぎやか,くらい,せまい,1,문맥상 '활기차다'의 의미인 「にぎやか」가 가장 자연스럽다.,にぎやか,활기차다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,えきまで（　　　）。,あるきます,のります,おります,とびます,0,문맥상 '걷습니다'의 의미인 「あるきます」가 가장 자연스럽다.,あるきます,걷습니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,バスに（　　　）。,おります,のります,つきます,まちます,1,문맥상 '탑니다'의 의미인 「のります」가 가장 자연스럽다.,のります,탑니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,つぎのえきで（　　　）。,のります,おります,かいます,います,1,문맥상 '내립니다'의 의미인 「おります」가 가장 자연스럽다.,おります,내립니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,ともだちを（　　　）。,まちます,おします,はこびます,たちます,0,문맥상 '기다립니다'의 의미인 「まちます」가 가장 자연스럽다.,まちます,기다립니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,このペンを（　　　）。,つかいます,すてます,わすれます,おぼえます,0,문맥상 '사용합니다'의 의미인 「つかいます」가 가장 자연스럽다.,つかいます,사용합니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,さいふを家に（　　　）。,わすれました,ひろいました,おしえました,なおしました,0,문맥상 '잊었습니다'의 의미인 「わすれました」가 가장 자연스럽다.,わすれました,잊었습니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,つくえの上に本が（　　　）。,います,あります,いきます,きます,1,문맥상 '있습니다(무생물)'의 의미인 「あります」가 가장 자연스럽다.,あります,있습니다(무생물)
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,へやにねこが（　　　）。,あります,います,のみます,あいます,1,문맥상 '있습니다(생물)'의 의미인 「います」가 가장 자연스럽다.,います,있습니다(생물)
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,まどを（　　　）。,しめます,あけます,きります,つけます,1,문맥상 '엽니다'의 의미인 「あけます」가 가장 자연스럽다.,あけます,엽니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,ドアを（　　　）。,あけます,しめます,はじめます,おわります,1,문맥상 '닫습니다'의 의미인 「しめます」가 가장 자연스럽다.,しめます,닫습니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,でんきを（　　　）。,けします,つけます,あらいます,おきます,1,문맥상 '켭니다'의 의미인 「つけます」가 가장 자연스럽다.,つけます,켭니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,テレビを（　　　）。,つけます,けします,のみます,はなします,1,문맥상 '끕니다'의 의미인 「けします」가 가장 자연스럽다.,けします,끕니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,てを（　　　）。,あらいます,きります,おします,たべます,0,문맥상 '씻습니다'의 의미인 「あらいます」가 가장 자연스럽다.,あらいます,씻습니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,ナイフでパンを（　　　）。,つくります,きります,あけます,あいます,1,문맥상 '자릅니다'의 의미인 「きります」가 가장 자연스럽다.,きります,자릅니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,ばんごはんを（　　　）。,つくります,よみます,ききます,すみます,0,문맥상 '만듭니다'의 의미인 「つくります」가 가장 자연스럽다.,つくります,만듭니다
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,わたしはソウルに（　　　）。,いきます,すみます,かえります,およぎます,1,문맥상 '삽니다(거주)'의 의미인 「すみます」가 가장 자연스럽다.,すみます,삽니다(거주)
N5,LANGUAGE_KNOWLEDGE,CONTEXT_VOCABULARY,MULTIPLE_CHOICE,うみで（　　　）。,あるきます,およぎます,ねます,のみます,1,문맥상 '수영합니다'의 의미인 「およぎます」가 가장 자연스럽다.,およぎます,수영합니다
