level,category,subType,questionFormat,questionText,choice1,choice2,choice3,choice4,answerIndex,explanation,targetKanji,targetMeaning
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「財布」의 읽기로 가장 알맞은 것은?,さいふ,ざいふ,さいぶ,さいほ,0,「財布」의 읽기는 さいふ이고 뜻은 지갑이다.,財布,지갑
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「現金」의 읽기로 가장 알맞은 것은?,げんぎん,げんきん,けんきん,げんこん,1,「現金」의 읽기는 げんきん이고 뜻은 현금이다.,現金,현금
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「食料品」의 읽기로 가장 알맞은 것은?,しょくりょひん,しょくりょうびん,しょくりょうひん,しょくりょうしな,2,「食料品」의 읽기는 しょくりょうひん이고 뜻은 식료품이다.,食料品,식료품
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「洋服」의 읽기로 가장 알맞은 것은?,ようぶく,ようふけ,よふく,ようふく,3,「洋服」의 읽기는 ようふく이고 뜻은 양복·옷이다.,洋服,양복·옷
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「特別」의 읽기로 가장 알맞은 것은?,とくべつ,どくべつ,とくへつ,とくべち,0,「特別」의 읽기는 とくべつ이고 뜻은 특별이다.,特別,특별
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「不便」의 읽기로 가장 알맞은 것은?,ふへん,ふべん,ぶべん,ふびん,1,「不便」의 읽기는 ふべん이고 뜻은 불편이다.,不便,불편
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「必要」의 읽기로 가장 알맞은 것은?,ひちよう,ひつよ,ひつよう,ひつゆう,2,「必要」의 읽기는 ひつよう이고 뜻은 필요이다.,必要,필요
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「安全」의 읽기로 가장 알맞은 것은?,あんせん,あんねん,あんぜい,あんぜん,3,「安全」의 읽기는 あんぜん이고 뜻은 안전이다.,安全,안전
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「危険」의 읽기로 가장 알맞은 것은?,きけん,きげん,きけい,きこん,0,「危険」의 읽기는 きけん이고 뜻은 위험이다.,危険,위험
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「故障」의 읽기로 가장 알맞은 것은?,こじょう,こしょう,ごしょう,こしょ,1,「故障」의 읽기는 こしょう이고 뜻은 고장이다.,故障,고장
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「最近」의 읽기로 가장 알맞은 것은?,さいぎん,さいけん,さいきん,ざいきん,2,「最近」의 읽기는 さいきん이고 뜻은 최근이다.,最近,최근
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「将来」의 읽기로 가장 알맞은 것은?,しょうない,しょらい,しょうれい,しょうらい,3,「将来」의 읽기는 しょうらい이고 뜻은 장래이다.,将来,장래
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「生活」의 읽기로 가장 알맞은 것은?,せいかつ,せいがつ,しょうかつ,せいかち,0,「生活」의 읽기는 せいかつ이고 뜻은 생활이다.,生活,생활
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「習慣」의 읽기로 가장 알맞은 것은?,しゅかん,しゅうかん,しゅうけん,しゅうがん,1,「習慣」의 읽기는 しゅうかん이고 뜻은 습관이다.,習慣,습관
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「文化」의 읽기로 가장 알맞은 것은?,ふんか,ぶんが,ぶんか,ぶんけ,2,「文化」의 읽기는 ぶんか이고 뜻은 문화이다.,文化,문화
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「歴史」의 읽기로 가장 알맞은 것은?,れっし,れきじ,りきし,れきし,3,「歴史」의 읽기는 れきし이고 뜻은 역사이다.,歴史,역사
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「地理」의 읽기로 가장 알맞은 것은?,ちり,じり,ちれい,ちいり,0,「地理」의 읽기는 ちり이고 뜻은 지리이다.,地理,지리
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「政治」의 읽기로 가장 알맞은 것은?,せいし,せいじ,しょうじ,せいち,1,「政治」의 읽기는 せいじ이고 뜻은 정치이다.,政治,정치
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「経済」의 읽기로 가장 알맞은 것은?,けいさい,けいせい,けいざい,げいざい,2,「経済」의 읽기는 けいざい이고 뜻은 경제이다.,経済,경제
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「法律」의 읽기로 가장 알맞은 것은?,ほりつ,ほうれつ,ほうりち,ほうりつ,3,「法律」의 읽기는 ほうりつ이고 뜻은 법률이다.,法律,법률
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「教育」의 읽기로 가장 알맞은 것은?,きょういく,きょいく,きょうえく,きょううく,0,「教育」의 읽기는 きょういく이고 뜻은 교육이다.,教育,교육
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「授業」의 읽기로 가장 알맞은 것은?,じゅきょう,じゅぎょう,しゅぎょう,じゅうぎょう,1,「授業」의 읽기는 じゅぎょう이고 뜻은 수업이다.,授業,수업
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「試験」의 읽기로 가장 알맞은 것은?,じけん,しげん,しけん,しけい,2,「試験」의 읽기는 しけん이고 뜻은 시험이다.,試験,시험
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「成績」의 읽기로 가장 알맞은 것은?,せいぜき,せきせい,せいせけ,せいせき,3,「成績」의 읽기는 せいせき이고 뜻은 성적이다.,成績,성적
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「卒業」의 읽기로 가장 알맞은 것은?,そつぎょう,そっぎょう,そつきょう,そつぎょ,0,「卒業」의 읽기는 そつぎょう이고 뜻은 졸업이다.,卒業,졸업
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「入院」의 읽기로 가장 알맞은 것은?,にゅいん,にゅういん,にゅうえん,にゅうにん,1,「入院」의 읽기는 にゅういん이고 뜻은 입원이다.,入院,입원
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「退院」의 읽기로 가장 알맞은 것은?,だいいん,たいえん,たいいん,たいん,2,「退院」의 읽기는 たいいん이고 뜻은 퇴원이다.,退院,퇴원
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「薬局」의 읽기로 가장 알맞은 것은?,やくきょく,やっきょう,やきょく,やっきょく,3,「薬局」의 읽기는 やっきょく이고 뜻은 약국이다.,薬局,약국
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「注射」의 읽기로 가장 알맞은 것은?,ちゅうしゃ,ちゅしゃ,ちゅうじゃ,ちゅうさ,0,「注射」의 읽기는 ちゅうしゃ이고 뜻은 주사이다.,注射,주사
N4,LANGUAGE_KNOWLEDGE,KANJI_READING,MULTIPLE_CHOICE,「健康」의 읽기로 가장 알맞은 것은?,けんごう,けんこう,げんこう,けんこ,1,「健康」의 읽기는 けんこう이고 뜻은 건강이다.,健康,건강
