entryId,cefrLevel,unitNumber,expression,partOfSpeech,koreanMeaning,source
EN-A1-00067,A1,4,ball,noun,공; 무도회,CEFRJ_1_5
EN-A1-00068,A1,4,banana,noun,바나나,CEFRJ_1_5
EN-A1-00069,A1,4,band,noun,밴드; 무리; 끈,CEFRJ_1_5
EN-A1-00070,A1,4,bank,noun,은행; 강둑,CEFRJ_1_5
EN-A1-00071,A1,4,bar,noun,술집; 막대기,CEFRJ_1_5
EN-A1-00072,A1,4,baseball,noun,야구,CEFRJ_1_5
EN-A1-00073,A1,4,basketball,noun,농구,CEFRJ_1_5
EN-A1-00074,A1,4,bat,noun,방망이; 박쥐,CEFRJ_1_5
EN-A1-00075,A1,4,bath,noun,목욕; 욕조,CEFRJ_1_5
EN-A1-00076,A1,4,bathroom,noun,욕실; 화장실,CEFRJ_1_5
EN-A1-00077,A1,4,be,be-verb,이다; 있다; 존재하다,CEFRJ_1_5
EN-A1-00078,A1,4,beach,noun,해변; 바닷가,CEFRJ_1_5
EN-A1-00079,A1,4,bean,noun,콩,CEFRJ_1_5
EN-A1-00080,A1,4,bear,noun,곰,CEFRJ_1_5
EN-A1-00081,A1,5,beautiful,adjective,아름다운,CEFRJ_1_5
EN-A1-00082,A1,5,because,conjunction,~ 때문에; 왜냐하면,CEFRJ_1_5
EN-A1-00083,A1,5,become,verb,~이 되다,CEFRJ_1_5
EN-A1-00084,A1,5,bed,noun,침대,CEFRJ_1_5
EN-A1-00085,A1,5,bedroom,noun,침실,CEFRJ_1_5
EN-A1-00086,A1,5,bee,noun,벌,CEFRJ_1_5
EN-A1-00087,A1,5,beef,noun,소고기,CEFRJ_1_5
EN-A1-00088,A1,5,before,adverb,전에; 이전에,CEFRJ_1_5
EN-A1-00089,A1,5,before,preposition,~ 전에; ~ 앞에,CEFRJ_1_5
EN-A1-00090,A1,5,begin,verb,시작하다,CEFRJ_1_5
EN-A1-00091,A1,5,behind,adverb,뒤에; 뒤떨어져,CEFRJ_1_5
EN-A1-00092,A1,5,behind,preposition,~ 뒤에; ~보다 뒤처진,CEFRJ_1_5
EN-A1-00093,A1,5,believe,verb,믿다; 생각하다,CEFRJ_1_5
EN-A1-00094,A1,5,bell,noun,종; 벨,CEFRJ_1_5
EN-A1-00095,A1,5,below,adverb,아래에; 밑에,CEFRJ_1_5
EN-A1-00096,A1,5,below,preposition,~보다 아래에; ~ 미만에,CEFRJ_1_5
EN-A1-00097,A1,5,beside,preposition,~ 옆에; ~에서 벗어난,CEFRJ_1_5
EN-A1-00098,A1,5,best,adjective,가장 좋은; 최고의,CEFRJ_1_5
EN-A1-00099,A1,5,best,adverb,가장 잘; 제일,CEFRJ_1_5
EN-A1-00100,A1,5,better,adjective,더 나은; 더 좋은,CEFRJ_1_5
EN-A1-00101,A1,6,between,preposition,~ 사이에; ~ 중간에,CEFRJ_1_5
EN-A1-00102,A1,6,bicycle,noun,자전거,CEFRJ_1_5
EN-A1-00103,A1,6,big,adjective,큰; 커다란,CEFRJ_1_5
EN-A1-00104,A1,6,bike,noun,자전거,CEFRJ_1_5
EN-A1-00105,A1,6,bird,noun,새,CEFRJ_1_5
EN-A1-00106,A1,6,birth,noun,탄생; 출생,CEFRJ_1_5
EN-A1-00107,A1,6,birthday,noun,생일,CEFRJ_1_5
EN-A1-00108,A1,6,biscuit,noun,비스킷; 쿠키,CEFRJ_1_5
EN-A1-00109,A1,6,black,adjective,검은; 검은색의,CEFRJ_1_5
EN-A1-00110,A1,6,black,noun,검은색; 검정,CEFRJ_1_5
EN-A1-00111,A1,6,blank,adjective,빈; 공백의,CEFRJ_1_5
EN-A1-00112,A1,6,block,noun,블록; 구역; 막대기,CEFRJ_1_5
EN-A1-00113,A1,6,blow,verb,불다; 바람이 불다,CEFRJ_1_5
EN-A1-00114,A1,6,blue,adjective,파란; 파란색의,CEFRJ_1_5
EN-A1-00115,A1,6,blue,noun,파란색; 청색,CEFRJ_1_5
EN-A1-00116,A1,6,board,noun,판자; 이사회; 게시판,CEFRJ_1_5
EN-A1-00117,A1,6,boat,noun,배; 보트,CEFRJ_1_5
EN-A1-00118,A1,6,body,noun,몸; 신체; 육체,CEFRJ_1_5
EN-A1-00119,A1,6,bone,noun,뼈,CEFRJ_1_5
EN-A1-00120,A1,6,book,noun,책; 도서,CEFRJ_1_5
EN-A1-00121,A1,7,bookstore,noun,서점,CEFRJ_1_5
EN-A1-00122,A1,7,boring,adjective,지루한; 따분한,CEFRJ_1_5
EN-A1-00123,A1,7,borrow,verb,빌리다; 대용하다,CEFRJ_1_5
EN-A1-00124,A1,7,both,adverb,둘 다; 양쪽 다,CEFRJ_1_5
EN-A1-00125,A1,7,both,determiner,양쪽의; 둘 다의,CEFRJ_1_5
EN-A1-00126,A1,7,both,pronoun,둘 다; 양쪽,CEFRJ_1_5
EN-A1-00127,A1,7,bottle,noun,병,CEFRJ_1_5
EN-A1-00128,A1,7,bottom,noun,바닥; 맨 아래,CEFRJ_1_5
EN-A1-00129,A1,7,bowl,noun,그릇; 사발,CEFRJ_1_5
EN-A1-00130,A1,7,box,noun,상자; 박스,CEFRJ_1_5
EN-A1-00131,A1,7,boy,noun,소년; 남자아이,CEFRJ_1_5
EN-A1-00132,A1,7,boyfriend,noun,남자친구,CEFRJ_1_5
EN-A1-00133,A1,7,brain,noun,뇌; 두뇌,CEFRJ_1_5
EN-A1-00134,A1,7,bread,noun,빵,CEFRJ_1_5
EN-A1-00135,A1,7,break,verb,깨뜨리다; 부서지다; 고장 나다,CEFRJ_1_5
EN-A1-00136,A1,7,breakfast,noun,아침 식사,CEFRJ_1_5
EN-A1-00137,A1,7,breathe,verb,숨을 쉬다; 호흡하다,CEFRJ_1_5
EN-A1-00138,A1,7,bridge,noun,다리; 교량,CEFRJ_1_5
EN-A1-00139,A1,7,bright,adjective,밝은; 빛나는,CEFRJ_1_5
EN-A1-00140,A1,7,bring,verb,가져오다; 데려오다,CEFRJ_1_5
EN-A1-00141,A1,8,broken,adjective,깨진; 고장 난,CEFRJ_1_5
EN-A1-00142,A1,8,brother,noun,남동생; 형; 오빠,CEFRJ_1_5
EN-A1-00143,A1,8,brown,adjective,갈색의,CEFRJ_1_5
EN-A1-00144,A1,8,brush,noun,솔; 빗; 브러시,CEFRJ_1_5
EN-A1-00145,A1,8,brush,verb,솔질을 하다; 빗질하다,CEFRJ_1_5
EN-A1-00146,A1,8,bucket,noun,양동이; 버킷,CEFRJ_1_5
EN-A1-00147,A1,8,build,verb,짓다; 건설하다; 세우다,CEFRJ_1_5
EN-A1-00148,A1,8,building,noun,건물; 빌딩,CEFRJ_1_5
EN-A1-00149,A1,8,burger,noun,버거; 햄버거,CEFRJ_1_5
EN-A1-00150,A1,8,bus,noun,버스,CEFRJ_1_5
EN-A1-00151,A1,8,business,noun,사업; 업무; 비즈니스,CEFRJ_1_5
EN-A1-00152,A1,8,busy,adjective,바쁜; 분주한,CEFRJ_1_5
EN-A1-00153,A1,8,but,conjunction,그러나; 하지만,CEFRJ_1_5
EN-A1-00154,A1,8,butter,noun,버터,CEFRJ_1_5
EN-A1-00155,A1,8,butterfly,noun,나비,CEFRJ_1_5
EN-A1-00156,A1,8,button,noun,단추; 버튼,CEFRJ_1_5
EN-A1-00157,A1,8,buy,verb,사다; 구매하다,CEFRJ_1_5
EN-A1-00158,A1,8,by,preposition,~ 옆에; ~에 의해서; ~까지,CEFRJ_1_5
EN-A1-00159,A1,8,bye,noun,안녕; 작별 인사,CEFRJ_1_5
EN-A1-00160,A1,8,cafe/café,noun,카페,CEFRJ_1_5
EN-A1-00161,A1,9,cake,noun,케이크,CEFRJ_1_5
EN-A1-00162,A1,9,call,noun,통화; 전화; 부름,CEFRJ_1_5
EN-A1-00163,A1,9,camera,noun,카메라; 사진기,CEFRJ_1_5
EN-A1-00164,A1,9,camp,noun,캠프; 야영지,CEFRJ_1_5
EN-A1-00165,A1,9,can,modal auxiliary,~할 수 있다; ~해도 좋다,CEFRJ_1_5
EN-A1-00166,A1,9,candy,noun,사탕; 캔디,CEFRJ_1_5
EN-A1-00167,A1,9,cap,noun,모자; 캡,CEFRJ_1_5
EN-A1-00168,A1,9,car,noun,자동차; 차,CEFRJ_1_5
EN-A1-00169,A1,9,card,noun,카드; 카드놀이,CEFRJ_1_5
EN-A1-00170,A1,9,care,noun,돌봄; 보살핌; 주의,CEFRJ_1_5
EN-A1-00171,A1,9,careful,adjective,조심스러운; 신중한,CEFRJ_1_5
EN-A1-00172,A1,9,carefully,adverb,조심스럽게; 주의 깊게,CEFRJ_1_5
EN-A1-00173,A1,9,carry,verb,나르다; 휴대하다; 가지고 다니다,CEFRJ_1_5
EN-A1-00174,A1,9,cartoon,noun,만화,CEFRJ_1_5
EN-A1-00175,A1,9,case,noun,상자; 용기; 소송 사건,CEFRJ_1_5
EN-A1-00176,A1,9,cat,noun,고양이,CEFRJ_1_5
EN-A1-00177,A1,9,catch,noun,잡기; 포획,CEFRJ_1_5
EN-A1-00178,A1,9,catch,verb,잡다; 받다,CEFRJ_1_5
EN-A1-00179,A1,9,CD,noun,시디; CD,CEFRJ_1_5
EN-A1-00180,A1,9,CD player,noun,CD 플레이어,CEFRJ_1_5
EN-A1-00181,A1,10,celebrate,verb,축하하다; 기념하다,CEFRJ_1_5
EN-A1-00182,A1,10,celebration,noun,축하; 기념행사,CEFRJ_1_5
EN-A1-00183,A1,10,chair,noun,의자,CEFRJ_1_5
EN-A1-00184,A1,10,change,noun,변화; 잔돈; 거스름돈,CEFRJ_1_5
EN-A1-00185,A1,10,change,verb,변하다; 바꾸다,CEFRJ_1_5
EN-A1-00186,A1,10,character,noun,성격; 특징; 등장인물,CEFRJ_1_5
EN-A1-00187,A1,10,check,noun,확인; 점검; 수표,CEFRJ_1_5
EN-A1-00188,A1,10,cheese,noun,치즈,CEFRJ_1_5
EN-A1-00189,A1,10,chicken,noun,닭; 닭고기,CEFRJ_1_5
EN-A1-00190,A1,10,child,noun,아이; 어린이,CEFRJ_1_5
EN-A1-00191,A1,10,chocolate,noun,초콜릿,CEFRJ_1_5
EN-A1-00192,A1,10,choose,verb,선택하다; 고르다,CEFRJ_1_5
EN-A1-00193,A1,10,church,noun,교회,CEFRJ_1_5
EN-A1-00194,A1,10,cinema,noun,영화관; 극장,CEFRJ_1_5
EN-A1-00195,A1,10,circle,noun,원; 동그라미,CEFRJ_1_5
EN-A1-00196,A1,10,city,noun,도시; 시,CEFRJ_1_5
EN-A1-00197,A1,10,class,noun,수업; 학급; 반,CEFRJ_1_5
EN-A1-00198,A1,10,classmate,noun,반 친구; 동창,CEFRJ_1_5
EN-A1-00199,A1,10,classroom,noun,교실,CEFRJ_1_5
EN-A1-00200,A1,10,clean,adjective,깨끗한; 청결한,CEFRJ_1_5
EN-A1-00201,A1,11,clean,verb,청소하다; 깨끗이 하다,CEFRJ_1_5
EN-A1-00202,A1,11,clever,adjective,영리한; 똑똑한,CEFRJ_1_5
EN-A1-00203,A1,11,climb,noun,등반; 오르기,CEFRJ_1_5
EN-A1-00204,A1,11,clock,noun,시계,CEFRJ_1_5
EN-A1-00205,A1,11,close,adjective,가까운; 친한,CEFRJ_1_5
EN-A1-00206,A1,11,close,verb,닫다; 끝나다,CEFRJ_1_5
EN-A1-00207,A1,11,closed,adjective,닫힌; 영업을 하지 않는,CEFRJ_1_5
EN-A1-00208,A1,11,cloth,noun,직물; 천,CEFRJ_1_5
EN-A1-00209,A1,11,clothes,noun,옷; 의복,CEFRJ_1_5
EN-A1-00210,A1,11,cloud,noun,구름,CEFRJ_1_5
EN-A1-00211,A1,11,cloudy,adjective,흐린; 구름이 낀,CEFRJ_1_5
EN-A1-00212,A1,11,club,noun,동호회; 클럽,CEFRJ_1_5
EN-A1-00213,A1,11,coach,noun,코치; 감독,CEFRJ_1_5
EN-A1-00214,A1,11,coat,noun,외투; 코트,CEFRJ_1_5
EN-A1-00215,A1,11,code,noun,암호; 코드,CEFRJ_1_5
EN-A1-00216,A1,11,coffee,noun,커피,CEFRJ_1_5
EN-A1-00217,A1,11,coke,noun,콜라,CEFRJ_1_5
EN-A1-00218,A1,11,cold,adjective,추운; 차가운,CEFRJ_1_5
EN-A1-00219,A1,11,cold,noun,감기; 추위,CEFRJ_1_5
EN-A1-00220,A1,11,collect,verb,수집하다; 모으다,CEFRJ_1_5
EN-A1-00221,A1,12,collection,noun,수집품; 소장품,CEFRJ_1_5
EN-A1-00222,A1,12,college,noun,대학,CEFRJ_1_5
EN-A1-00223,A1,12,color/colour,noun,색; 색깔,CEFRJ_1_5
EN-A1-00224,A1,12,color/colour,verb,칠하다; 색칠하다,CEFRJ_1_5
EN-A1-00225,A1,12,come,verb,오다,CEFRJ_1_5
EN-A1-00226,A1,12,computer,noun,컴퓨터,CEFRJ_1_5
EN-A1-00227,A1,12,concert,noun,콘서트; 음악회,CEFRJ_1_5
EN-A1-00228,A1,12,contest,noun,대회; 콘테스트,CEFRJ_1_5
EN-A1-00229,A1,12,conversation,noun,대화,CEFRJ_1_5
EN-A1-00230,A1,12,cook,noun,요리사,CEFRJ_1_5
EN-A1-00231,A1,12,cook,verb,요리하다,CEFRJ_1_5
EN-A1-00232,A1,12,cookie,noun,쿠키,CEFRJ_1_5
EN-A1-00233,A1,12,cool,adjective,시원한; 멋진,CEFRJ_1_5
EN-A1-00234,A1,12,cop,noun,경찰관,CEFRJ_1_5
EN-A1-00235,A1,12,copy,noun,복사본; 한 부,CEFRJ_1_5
EN-A1-00236,A1,12,corn,noun,옥수수,CEFRJ_1_5
EN-A1-00237,A1,12,corner,noun,모퉁이; 구석,CEFRJ_1_5
EN-A1-00238,A1,12,correct,adjective,맞는; 정확한,CEFRJ_1_5
EN-A1-00239,A1,12,couch,noun,소파,CEFRJ_1_5
EN-A1-00240,A1,12,could,modal auxiliary,"할 수 있었다; 해도 된다 (능력, 허가, 정중한 부탁을 나타냄)",CEFRJ_1_5
EN-A1-00241,A1,13,course,noun,강좌; 과정,CEFRJ_1_5
EN-A1-00242,A1,13,cousin,noun,사촌,CEFRJ_1_5
EN-A1-00243,A1,13,cover,noun,덮개; 표지,CEFRJ_1_5
EN-A1-00244,A1,13,cow,noun,암소; 소,CEFRJ_1_5
EN-A1-00245,A1,13,cream,noun,크림,CEFRJ_1_5
EN-A1-00246,A1,13,credit card,noun,신용카드,CEFRJ_1_5
EN-A1-00247,A1,13,cry,noun,울음; 외침,CEFRJ_1_5
EN-A1-00248,A1,13,culture,noun,문화,CEFRJ_1_5
EN-A1-00249,A1,13,cup,noun,컵; 잔,CEFRJ_1_5
EN-A1-00250,A1,13,cut,verb,자르다; 베다,CEFRJ_1_5
EN-A1-00251,A1,13,cute,adjective,귀여운,CEFRJ_1_5
EN-A1-00252,A1,13,dad,noun,아빠,CEFRJ_1_5
EN-A1-00253,A1,13,daddy,noun,아빠,CEFRJ_1_5
EN-A1-00254,A1,13,dance,noun,춤; 무용,CEFRJ_1_5
EN-A1-00255,A1,13,dance,verb,춤을 추다,CEFRJ_1_5
EN-A1-00256,A1,13,dancing,noun,춤; 무용,CEFRJ_1_5
EN-A1-00257,A1,13,dark,adjective,어두운; 캄캄한,CEFRJ_1_5
EN-A1-00258,A1,13,date,noun,날짜; 데이트,CEFRJ_1_5
EN-A1-00259,A1,13,daughter,noun,딸,CEFRJ_1_5
EN-A1-00260,A1,13,day,noun,하루; 낮,CEFRJ_1_5
EN-A1-00261,A1,14,dear,adjective,친애하는; 소중한,CEFRJ_1_5
EN-A1-00262,A1,14,December,noun,12월,CEFRJ_1_5
EN-A1-00263,A1,14,delicious,adjective,맛있는,CEFRJ_1_5
EN-A1-00264,A1,14,describe,verb,묘사하다; 설명하다,CEFRJ_1_5
EN-A1-00265,A1,14,design,noun,디자인; 도안,CEFRJ_1_5
EN-A1-00266,A1,14,desk,noun,책상,CEFRJ_1_5
EN-A1-00267,A1,14,dictionary,noun,사전,CEFRJ_1_5
EN-A1-00268,A1,14,did,do-verb,했다 (do의 과거형),CEFRJ_1_5
EN-A1-00269,A1,14,difference,noun,차이; 차이점,CEFRJ_1_5
EN-A1-00270,A1,14,different,adjective,다른,CEFRJ_1_5
EN-A1-00271,A1,14,difficult,adjective,어려운,CEFRJ_1_5
EN-A1-00272,A1,14,dig,noun,파기; 발굴,CEFRJ_1_5
EN-A1-00273,A1,14,dining room,noun,식당; 다이닝 룸,CEFRJ_1_5
EN-A1-00274,A1,14,dinner,noun,저녁 식사,CEFRJ_1_5
EN-A1-00275,A1,14,dirty,adjective,더러운,CEFRJ_1_5
EN-A1-00276,A1,14,discuss,verb,토론하다; 논의하다,CEFRJ_1_5
EN-A1-00277,A1,14,dish,noun,접시; 요리,CEFRJ_1_5
EN-A1-00278,A1,14,do,do-verb,하다 (행동이나 활동을 수행함을 나타냄),CEFRJ_1_5
EN-A1-00279,A1,14,doctor/Dr./Dr,noun,의사; 박사,CEFRJ_1_5
EN-A1-00280,A1,14,does,do-verb,한다 (do의 3인칭 단수 현재형),CEFRJ_1_5
EN-A1-00281,A1,15,dog,noun,개,CEFRJ_1_5
EN-A1-00282,A1,15,doing,do-verb,하는 것; 하기 (do의 현재분사/동명사 형식),CEFRJ_1_5
EN-A1-00283,A1,15,doll,noun,인형,CEFRJ_1_5
EN-A1-00284,A1,15,dollar,noun,달러,CEFRJ_1_5
EN-A1-00285,A1,15,door,noun,문,CEFRJ_1_5
EN-A1-00286,A1,15,down,adverb,아래로; 아래에,CEFRJ_1_5
EN-A1-00287,A1,15,drama,noun,드라마; 연극,CEFRJ_1_5
EN-A1-00288,A1,15,draw,verb,그리다; 끌다,CEFRJ_1_5
EN-A1-00289,A1,15,dream,noun,꿈,CEFRJ_1_5
EN-A1-00290,A1,15,dress,noun,드레스; 원피스,CEFRJ_1_5
EN-A1-00291,A1,15,drink,noun,음료; 마실 것,CEFRJ_1_5
EN-A1-00292,A1,15,drink,verb,마시다,CEFRJ_1_5
EN-A1-00293,A1,15,drive,noun,드라이브; 주행,CEFRJ_1_5
EN-A1-00294,A1,15,driver,noun,운전자,CEFRJ_1_5
EN-A1-00295,A1,15,drop,verb,떨어뜨리다; 떨어지다,CEFRJ_1_5
EN-A1-00296,A1,15,drum,noun,드럼; 북,CEFRJ_1_5
EN-A1-00297,A1,15,dry,adjective,마른; 건조한,CEFRJ_1_5
EN-A1-00298,A1,15,due,adjective,~하기로 되어 있는; 예정된,CEFRJ_1_5
EN-A1-00299,A1,15,DVD,noun,디비디 (DVD),CEFRJ_1_5
EN-A1-00300,A1,15,each,determiner,각각의; 각,CEFRJ_1_5
EN-A1-00301,A1,16,each,pronoun,각각의; 각자,CEFRJ_1_5
EN-A1-00302,A1,16,each other,pronoun,서로,CEFRJ_1_5
EN-A1-00303,A1,16,ear,noun,귀,CEFRJ_1_5
EN-A1-00304,A1,16,early,adverb,일찍; 이르게,CEFRJ_1_5
EN-A1-00305,A1,16,easy,adjective,쉬운,CEFRJ_1_5
EN-A1-00306,A1,16,eat,verb,먹다,CEFRJ_1_5
EN-A1-00307,A1,16,egg,noun,달걀; 알,CEFRJ_1_5
EN-A1-00308,A1,16,eight,number,여덟; 여덟의,CEFRJ_1_5
EN-A1-00309,A1,16,eighteen,number,열여덟; 열여덟의,CEFRJ_1_5
EN-A1-00310,A1,16,eighty,number,여든; 여든의,CEFRJ_1_5
EN-A1-00311,A1,16,either,adverb,또한; 역시,CEFRJ_1_5
EN-A1-00312,A1,16,elementary,adjective,초등의; 기초적인,CEFRJ_1_5
EN-A1-00313,A1,16,eleven,number,열하나; 열하나의,CEFRJ_1_5
EN-A1-00314,A1,16,else,adverb,그 밖에; 달리,CEFRJ_1_5
EN-A1-00315,A1,16,email/e-mail/E-mail,noun,이메일,CEFRJ_1_5
EN-A1-00316,A1,16,end,noun,끝; 종말,CEFRJ_1_5
EN-A1-00317,A1,16,engineer,noun,엔지니어; 기술자,CEFRJ_1_5
EN-A1-00318,A1,16,enjoy,verb,즐기다,CEFRJ_1_5
EN-A1-00319,A1,16,evening,noun,저녁; 밤,CEFRJ_1_5
EN-A1-00320,A1,16,event,noun,행사; 사건,CEFRJ_1_5
EN-A1-00321,A1,17,every,determiner,모든,CEFRJ_1_5
EN-A1-00322,A1,17,everybody,pronoun,모든 사람; 누구나,CEFRJ_1_5
EN-A1-00323,A1,17,everyday,adjective,매일의; 일상적인,CEFRJ_1_5
EN-A1-00324,A1,17,everyone,pronoun,모든 사람; 누구나,CEFRJ_1_5
EN-A1-00325,A1,17,everything,pronoun,모든 것,CEFRJ_1_5
EN-A1-00326,A1,17,everywhere,adverb,모든 곳에; 어디나,CEFRJ_1_5
EN-A1-00327,A1,17,example,noun,예; 모범,CEFRJ_1_5
EN-A1-00328,A1,17,excellent,adjective,훌륭한; 탁월한,CEFRJ_1_5
EN-A1-00329,A1,17,excited,adjective,신이 난; 흥분한,CEFRJ_1_5
EN-A1-00330,A1,17,exciting,adjective,신나는; 흥미진진한,CEFRJ_1_5
EN-A1-00331,A1,17,excuse,noun,변명; 이유,CEFRJ_1_5
EN-A1-00332,A1,17,exercise,verb,운동하다; 연습하다,CEFRJ_1_5
EN-A1-00333,A1,17,expensive,adjective,비싼,CEFRJ_1_5
EN-A1-00334,A1,17,eye,noun,눈,CEFRJ_1_5
EN-A1-00335,A1,17,face,noun,얼굴,CEFRJ_1_5
EN-A1-00336,A1,17,factory,noun,공장,CEFRJ_1_5
EN-A1-00337,A1,17,fair,adjective,공평한; 타당한,CEFRJ_1_5
EN-A1-00338,A1,17,fairy,noun,요정,CEFRJ_1_5
EN-A1-00339,A1,17,false,adjective,거짓의; 틀린,CEFRJ_1_5
EN-A1-00340,A1,17,family,noun,가족,CEFRJ_1_5
EN-A1-00341,A1,18,famous,adjective,유명한,CEFRJ_1_5
EN-A1-00342,A1,18,fan,noun,팬; 부채,CEFRJ_1_5
EN-A1-00343,A1,18,farm,noun,농장,CEFRJ_1_5
EN-A1-00344,A1,18,farmer,noun,농부,CEFRJ_1_5
EN-A1-00345,A1,18,fast,adjective,빠른,CEFRJ_1_5
EN-A1-00346,A1,18,fast,adverb,빨리; 빠르게,CEFRJ_1_5
EN-A1-00347,A1,18,fat,adjective,뚱뚱한; 지방이 많은,CEFRJ_1_5
EN-A1-00348,A1,18,father,noun,아버지,CEFRJ_1_5
EN-A1-00349,A1,18,favorite/favourite,adjective,가장 좋아하는,CEFRJ_1_5
EN-A1-00350,A1,18,favorite/favourite,noun,가장 좋아하는 것,CEFRJ_1_5
